GameDate,start_date,end_date
2017-04-02,2017-04-02,2017-04-02
2017-04-03,2017-04-03,2017-04-03
2017-04-04,2017-04-04,2017-04-04
2017-04-05,2017-04-05,2017-04-05
2017-04-06,2017-04-06,2017-04-06
2017-04-07,2017-04-07,2017-04-07
2017-04-08,2017-04-08,2017-04-08
2017-04-09,2017-04-09,2017-04-09
2017-04-10,2017-04-10,2017-04-10
2017-04-11,2017-04-11,2017-04-11
2017-04-12,2017-04-12,2017-04-12
2017-04-13,2017-04-13,2017-04-13
2017-04-14,2017-04-14,2017-04-14
2017-04-15,2017-04-15,2017-04-15
2017-04-16,2017-04-16,2017-04-16
2017-04-17,2017-04-17,2017-04-17
2017-04-18,2017-04-18,2017-04-18
2017-04-19,2017-04-19,2017-04-19
2017-04-20,2017-04-20,2017-04-20
2017-04-21,2017-04-21,2017-04-21
2017-04-22,2017-04-22,2017-04-22
2017-04-23,2017-04-23,2017-04-23
2017-04-24,2017-04-24,2017-04-24
2017-04-25,2017-04-25,2017-04-25
2017-04-26,2017-04-26,2017-04-26
2017-04-27,2017-04-27,2017-04-27
2017-04-28,2017-04-28,2017-04-28
2017-04-29,2017-04-29,2017-04-29
2017-04-30,2017-04-30,2017-04-30
2017-05-01,2017-05-01,2017-05-01
2017-05-02,2017-05-02,2017-05-02
2017-05-03,2017-05-03,2017-05-03
2017-05-04,2017-05-04,2017-05-04
2017-05-05,2017-05-05,2017-05-05
2017-05-06,2017-05-06,2017-05-06
2017-05-07,2017-05-07,2017-05-07
2017-05-08,2017-05-08,2017-05-08
2017-05-09,2017-05-09,2017-05-09
2017-05-10,2017-05-10,2017-05-10
2017-05-11,2017-05-11,2017-05-11
2017-05-12,2017-05-12,2017-05-12
2017-05-13,2017-05-13,2017-05-13
2017-05-14,2017-05-14,2017-05-14
2017-05-15,2017-05-15,2017-05-15
2017-05-16,2017-05-16,2017-05-16
2017-05-17,2017-05-17,2017-05-17
2017-05-18,2017-05-18,2017-05-18
2017-05-19,2017-05-19,2017-05-19
2017-05-20,2017-05-20,2017-05-20
2017-05-21,2017-05-21,2017-05-21
