"Date","Team","Opp","GS","W","L","SV","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","GSv2"
"Total","- - -","- - -","120","53","31","0","0","730.1","3001","631","290","275","78","216","777","9.58","2.66","0.96",".290","76.3 %","50.6 %","13.5 %","3.39","3.42","3.40","57"
"2019-08-20","PHI","@BOS","1","1","0","0","0","7.0","25","4","2","2","1","1","7","9.00","1.29","1.29",".188","83.3 %","47.1 %","25.0 %","2.57","3.50","2.78","67"
"2019-08-14","PHI","CHC","1","1","0","0","0","7.0","24","3","1","1","1","1","7","9.00","1.29","1.29",".133","100.0 %","62.5 %","20.0 %","1.29","3.50","3.07","72"
"2019-08-08","PHI","@SFG","1","0","1","0","0","5.0","22","7","3","3","0","2","3","5.40","3.60","0.00",".412","66.7 %","70.6 %","0.0 %","5.40","3.21","4.01","46"
"2019-08-03","PHI","CHW","1","1","0","0","0","7.0","26","3","1","1","0","2","10","12.86","2.57","0.00",".214","80.0 %","61.5 %","0.0 %","1.29","1.21","2.07","79"
"2019-07-28","PHI","ATL","1","1","0","0","0","6.2","29","7","4","4","2","3","8","10.80","4.05","2.70",".313","83.3 %","27.8 %","25.0 %","5.40","6.06","4.56","44"
"2019-07-23","PHI","@DET","1","0","0","0","0","7.0","28","4","2","1","0","1","7","9.00","1.29","0.00",".235","75.0 %","64.7 %","0.0 %","1.29","2.93","3.78","73"
"2019-07-18","PHI","LAD","1","0","0","0","0","5.0","23","5","4","4","3","3","5","9.00","5.40","5.40",".167","100.0 %","40.0 %","37.5 %","7.20","10.81","6.21","29"
"2019-07-13","PHI","WSN","1","0","0","0","0","6.0","26","5","1","1","0","4","9","13.50","6.00","0.00",".385","88.9 %","38.5 %","0.0 %","1.50","2.21","3.88","64"
"2019-07-07","PHI","@NYM","1","1","0","0","0","6.2","27","3","2","1","1","3","6","8.10","4.05","1.35",".118","87.0 %","66.7 %","20.0 %","1.35","4.71","4.26","62"
"2019-07-02","PHI","@ATL","1","1","0","0","0","8.0","30","4","0","0","0","3","8","9.00","3.38","0.00",".211","100.0 %","26.3 %","0.0 %","0.00","2.34","4.83","82"
"2019-06-27","PHI","NYM","1","0","0","0","0","7.0","25","1","0","0","0","1","10","12.86","1.29","0.00",".077","100.0 %","76.9 %","0.0 %","0.00","1.21","2.07","88"
"2019-06-21","PHI","MIA","1","0","1","0","0","8.0","32","6","2","1","1","1","10","11.25","1.13","1.13",".263","90.9 %","55.0 %","16.7 %","1.13","3.09","2.96","72"
"2019-06-15","PHI","@ATL","1","0","0","0","0","4.1","22","6","5","5","2","2","4","8.31","4.15","4.15",".308","64.5 %","40.0 %","40.0 %","10.38","9.44","5.75","27"
"2019-06-09","PHI","CIN","1","0","0","0","0","6.2","27","4","3","3","0","3","7","9.45","4.05","0.00",".235","57.1 %","58.8 %","0.0 %","4.05","2.46","3.66","64"
"2019-06-03","PHI","@SDP","1","0","1","0","0","5.1","27","8","6","6","1","3","5","8.44","5.06","1.69",".389","52.1 %","42.1 %","25.0 %","10.13","5.46","4.52","31"
"2019-05-29","PHI","STL","1","1","0","0","0","7.0","28","4","1","1","1","3","8","10.29","3.86","1.29",".188","100.0 %","58.8 %","33.3 %","1.29","4.07","3.07","67"
"2019-05-23","PHI","@CHC","1","1","0","0","0","5.1","22","4","3","3","0","4","6","10.13","6.75","0.00",".333","62.5 %","58.3 %","0.0 %","5.06","3.21","4.34","53"
"2019-05-18","PHI","COL","1","1","0","0","0","6.0","27","8","1","1","0","1","12","18.00","1.50","0.00",".571","88.9 %","35.7 %","0.0 %","1.50","-0.29","0.71","67"
"2019-05-13","PHI","MIL","1","0","0","0","0","3.0","17","5","3","3","1","3","3","9.00","9.00","3.00",".400","75.8 %","36.4 %","16.7 %","9.00","8.55","8.21","30"
"2019-05-07","PHI","@STL","1","1","0","0","0","6.0","22","3","1","1","1","1","7","10.50","1.50","1.50",".167","100.0 %","61.5 %","100.0 %","1.50","4.05","2.21","66"
"2019-05-01","PHI","DET","1","0","0","0","0","5.2","26","7","1","1","0","3","6","9.53","4.76","0.00",".412","90.0 %","35.3 %","0.0 %","1.59","2.68","4.44","57"
"2019-04-25","PHI","MIA","1","0","0","0","0","6.2","27","7","1","1","0","1","4","5.40","1.35","0.00",".333","88.9 %","36.8 %","0.0 %","1.35","2.91","4.71","65"
"2019-04-20","PHI","@COL","1","1","0","0","0","5.2","27","9","3","3","2","1","9","14.29","1.59","3.18",".500","97.6 %","50.0 %","50.0 %","4.76","5.68","2.50","42"
"2019-04-15","PHI","NYM","1","0","0","0","0","4.0","22","7","5","5","0","3","6","13.50","6.75","0.00",".538","50.0 %","30.8 %","0.0 %","11.25","2.46","3.96","35"
"2019-04-09","PHI","WSN","1","0","0","0","0","6.1","26","7","5","4","2","1","3","4.26","1.42","2.84",".250","57.7 %","54.5 %","28.6 %","5.68","6.84","4.95","38"
"2019-04-03","PHI","@WSN","1","0","0","0","0","3.0","16","5","6","6","3","2","2","6.00","6.00","9.00",".222","35.7 %","50.0 %","60.0 %","18.00","16.88","7.21","10"
"2019-03-28","PHI","ATL","1","1","0","0","0","6.0","23","2","1","1","0","5","8","12.00","7.50","0.00",".200","85.7 %","60.0 %","0.0 %","1.50","3.05","4.04","67"
"2018-09-29","PHI","ATL","1","1","0","0","0","7.0","26","2","0","0","0","4","8","10.29","5.14","0.00",".154","100.0 %","76.9 %","0.0 %","0.00","3.02","3.25","76"
"2018-09-23","PHI","@ATL","1","0","1","0","0","6.0","23","4","2","2","1","1","6","9.00","1.50","1.50",".200","83.3 %","50.0 %","20.0 %","3.00","3.83","3.04","58"
"2018-09-18","PHI","NYM","1","0","0","0","0","5.2","25","6","2","2","1","2","9","14.29","3.18","1.59",".385","90.9 %","50.0 %","20.0 %","3.18","3.34","2.50","53"
"2018-09-12","PHI","WSN","1","0","1","0","0","5.0","21","6","4","4","2","1","5","9.00","1.80","3.60",".308","71.4 %","40.0 %","33.3 %","7.20","6.96","3.74","35"
"2018-09-07","PHI","@NYM","1","1","0","0","0","7.0","26","3","3","3","2","1","8","10.29","1.29","2.57",".071","90.9 %","50.0 %","28.6 %","3.86","5.45","3.38","59"
"2018-09-02","PHI","CHC","1","0","1","0","0","5.2","23","5","4","4","3","2","11","17.47","3.18","4.76",".286","100.0 %","50.0 %","75.0 %","6.35","7.22","1.50","39"
"2018-08-28","PHI","WSN","1","0","0","0","0","7.0","26","4","2","1","0","2","8","10.29","2.57","0.00",".250","66.7 %","56.3 %","0.0 %","1.29","1.73","2.68","70"
"2018-08-23","PHI","@WSN","1","1","0","0","0","8.0","30","5","0","0","0","1","9","10.13","1.13","0.00",".250","100.0 %","38.9 %","0.0 %","0.00","1.29","2.32","83"
"2018-08-17","PHI","NYM","1","1","0","0","0","7.0","26","3","1","1","0","1","11","14.14","1.29","0.00",".231","80.0 %","46.2 %","0.0 %","1.29","0.88","1.58","80"
"2018-08-11","PHI","@SDP","1","1","0","0","0","6.0","25","4","0","0","0","3","5","7.50","4.50","0.00",".250","100.0 %","62.5 %","0.0 %","0.00","3.49","4.04","65"
"2018-08-05","PHI","MIA","1","0","0","0","0","6.0","28","7","2","2","1","2","2","3.00","3.00","1.50",".261","92.1 %","41.7 %","14.3 %","3.00","5.66","5.42","46"
"2018-07-30","PHI","@BOS","1","0","0","0","0","8.0","29","4","1","1","0","1","6","6.75","1.13","0.00",".182","80.0 %","52.4 %","0.0 %","1.13","2.04","3.27","79"
"2018-07-24","PHI","LAD","1","0","0","0","0","5.0","21","5","3","3","1","2","5","9.00","3.60","1.80",".308","71.4 %","23.1 %","11.1 %","5.40","4.96","5.33","44"
"2018-07-14","PHI","@MIA","1","0","1","0","0","6.0","24","4","2","2","0","1","5","7.50","1.50","0.00",".222","60.0 %","77.8 %","0.0 %","3.00","1.99","3.10","63"
"2018-07-09","PHI","@NYM","1","1","0","0","0","7.0","23","1","0","0","0","1","10","12.86","1.29","0.00",".083","100.0 %","41.7 %","0.0 %","0.00","0.73","1.91","86"
"2018-07-04","PHI","BAL","1","1","0","0","0","7.0","30","7","1","1","0","2","9","11.57","2.57","0.00",".389","90.0 %","44.4 %","0.0 %","1.29","1.88","3.06","68"
"2018-06-28","PHI","WSN","1","1","0","0","0","7.2","30","5","1","1","0","2","8","9.39","2.35","0.00",".250","85.7 %","31.6 %","0.0 %","1.17","1.86","3.58","75"
"2018-06-23","PHI","@WSN","1","1","0","0","0","6.0","24","4","2","2","0","3","5","7.50","4.50","0.00",".250","71.4 %","35.7 %","0.0 %","3.00","2.99","4.92","59"
"2018-06-17","PHI","@MIL","1","0","0","0","0","4.1","23","7","4","4","1","4","4","8.31","8.31","2.08",".429","72.9 %","28.6 %","25.0 %","8.31","7.08","5.61","28"
"2018-06-12","PHI","COL","1","1","0","0","0","6.2","25","4","1","1","0","0","10","13.50","0.00","0.00",".286","80.0 %","71.4 %","0.0 %","1.35","0.61","1.11","77"
"2018-06-06","PHI","@CHC","1","0","0","0","0","6.0","26","4","3","3","1","4","6","9.00","6.00","1.50",".200","75.8 %","68.8 %","25.0 %","4.50","5.33","4.26","49"
"2018-05-31","PHI","@LAD","1","1","0","0","0","7.0","25","2","1","1","0","1","7","9.00","1.29","0.00",".118","66.7 %","58.8 %","0.0 %","1.29","1.59","3.01","78"
"2018-05-26","PHI","TOR","1","0","0","0","0","6.2","24","1","1","1","0","3","10","13.50","4.05","0.00",".091","75.0 %","81.8 %","0.0 %","1.35","1.51","2.01","77"
"2018-05-20","PHI","@STL","1","0","1","0","0","6.0","26","7","4","4","1","1","6","9.00","1.50","1.50",".333","60.6 %","33.3 %","14.3 %","6.00","3.83","3.59","46"
"2018-05-13","PHI","NYM","1","1","0","0","0","6.0","25","9","1","1","1","2","4","6.00","3.00","1.50",".444","100.0 %","61.1 %","25.0 %","1.50","4.99","3.93","47"
"2018-05-08","PHI","SFG","1","1","0","0","0","7.0","25","5","1","1","0","0","12","15.43","0.00","0.00",".385","80.0 %","46.2 %","0.0 %","1.29","-0.27","0.20","79"
"2018-05-02","PHI","@MIA","1","1","0","0","0","7.1","25","4","0","0","0","1","7","8.59","1.23","0.00",".235","100.0 %","47.1 %","0.0 %","0.00","1.66","2.11","79"
"2018-04-27","PHI","ATL","1","1","0","0","0","7.0","28","7","3","3","0","1","4","5.14","1.29","0.00",".304","62.5 %","63.6 %","0.0 %","3.86","2.45","3.86","59"
"2018-04-21","PHI","PIT","1","1","0","0","0","7.0","26","6","2","2","1","0","9","11.57","0.00","1.29",".313","87.0 %","41.2 %","12.5 %","2.57","2.45","2.48","65"
"2018-04-16","PHI","@ATL","1","0","1","0","0","6.0","22","4","2","2","0","1","2","3.00","1.50","0.00",".211","60.0 %","50.0 %","0.0 %","3.00","2.99","4.92","60"
"2018-04-10","PHI","CIN","1","1","0","0","0","8.0","29","3","1","1","0","3","6","6.75","3.38","0.00",".150","83.3 %","47.4 %","0.0 %","1.13","2.79","3.82","77"
"2018-04-04","PHI","@NYM","1","0","0","0","0","5.0","22","4","2","2","1","4","4","7.20","7.20","1.80",".250","92.1 %","69.2 %","100.0 %","3.60","7.16","4.89","44"
"2018-03-29","PHI","@ATL","1","0","0","0","0","5.1","20","3","1","1","0","1","3","5.06","1.69","0.00",".188","75.0 %","40.0 %","0.0 %","1.69","2.60","4.77","62"
"2017-09-25","PHI","WSN","1","0","1","0","0","6.0","25","5","2","2","1","2","9","13.50","3.00","1.50",".308","89.3 %","57.1 %","25.0 %","3.00","3.32","2.34","59"
"2017-09-19","PHI","LAD","1","1","0","0","0","7.0","27","5","2","2","1","2","8","10.29","2.57","1.29",".250","89.3 %","47.1 %","20.0 %","2.57","3.59","3.00","64"
"2017-09-13","PHI","MIA","1","1","0","0","0","7.0","27","4","1","1","1","2","11","14.14","2.57","1.29",".231","100.0 %","42.9 %","20.0 %","1.29","2.73","2.14","72"
"2017-09-07","PHI","@WSN","1","0","0","0","0","5.1","25","7","3","2","0","2","8","13.50","3.38","0.00",".467","66.7 %","53.3 %","0.0 %","3.38","1.28","1.95","53"
"2017-09-02","PHI","@MIA","1","0","1","0","0","5.0","26","10","6","6","2","1","7","12.60","1.80","3.60",".500","61.0 %","66.7 %","50.0 %","10.80","6.16","2.38","25"
"2017-08-28","PHI","ATL","1","1","0","0","0","7.0","25","5","1","1","0","0","6","7.71","0.00","0.00",".278","83.3 %","47.1 %","0.0 %","1.29","1.87","2.63","75"
"2017-08-22","PHI","MIA","1","0","1","0","0","6.1","29","9","7","7","2","2","7","9.95","2.84","2.84",".389","48.8 %","45.0 %","28.6 %","9.95","6.00","3.86","30"
"2017-08-17","PHI","@SFG","1","0","1","0","0","5.0","24","7","5","5","0","3","3","5.40","5.40","0.00",".389","50.0 %","38.9 %","0.0 %","9.00","3.76","6.25","38"
"2017-08-12","PHI","NYM","1","1","0","0","0","7.0","25","2","1","1","1","2","8","10.29","2.57","1.29",".071","100.0 %","60.0 %","20.0 %","1.29","3.59","3.00","73"
"2017-08-06","PHI","@COL","1","0","0","0","0","7.0","29","6","2","2","0","2","7","9.00","2.57","0.00",".300","75.0 %","45.0 %","0.0 %","2.57","2.01","4.05","67"
"2017-08-01","PHI","@LAA","1","0","1","0","0","6.0","26","8","2","2","0","1","3","4.50","1.50","0.00",".364","77.8 %","63.6 %","0.0 %","3.00","2.66","4.44","55"
"2017-07-26","PHI","HOU","1","1","0","0","0","6.0","23","4","0","0","0","1","10","15.00","1.50","0.00",".333","100.0 %","50.0 %","0.0 %","0.00","0.32","2.10","76"
"2017-07-21","PHI","MIL","1","1","0","0","0","7.0","26","5","1","1","1","2","9","11.57","2.57","1.29",".286","100.0 %","53.3 %","20.0 %","1.29","3.30","2.71","68"
"2017-07-15","PHI","@MIL","1","0","0","0","0","6.0","27","7","2","2","1","2","7","10.50","3.00","1.50",".353","92.1 %","33.3 %","12.5 %","3.00","3.99","4.20","53"
"2017-07-08","PHI","SDP","1","0","1","0","0","8.0","30","4","2","2","0","2","9","10.13","2.25","0.00",".211","66.7 %","57.9 %","0.0 %","2.25","1.66","2.99","79"
"2017-07-03","PHI","PIT","1","1","0","0","0","7.0","27","4","0","0","0","1","8","10.29","1.29","0.00",".222","100.0 %","38.9 %","0.0 %","0.00","1.30","2.57","80"
"2017-06-27","PHI","@SEA","1","1","0","0","0","7.0","28","5","2","2","1","4","9","11.57","5.14","1.29",".286","92.1 %","53.3 %","20.0 %","2.57","4.16","3.57","61"
"2017-06-22","PHI","STL","1","1","0","0","0","7.1","28","4","1","1","1","2","8","9.82","2.45","1.23",".176","100.0 %","44.4 %","16.7 %","1.23","3.57","3.25","71"
"2017-06-16","PHI","ARI","1","0","1","0","0","6.0","29","9","5","5","1","2","6","9.00","3.00","1.50",".400","62.5 %","52.4 %","33.3 %","7.50","4.32","3.05","39"
"2017-06-11","PHI","@STL","1","0","1","0","0","5.0","21","4","3","3","1","2","6","10.80","3.60","1.80",".250","65.2 %","30.8 %","16.7 %","5.40","4.56","4.09","49"
"2017-06-06","PHI","@ATL","1","1","0","0","0","8.0","29","5","1","1","0","1","6","6.75","1.13","0.00",".227","83.3 %","28.6 %","0.0 %","1.13","2.03","4.26","79"
"2017-05-31","PHI","@MIA","1","0","1","0","0","3.0","15","5","4","4","1","1","4","12.00","3.00","3.00",".444","43.5 %","80.0 %","100.0 %","12.00","5.82","2.08","32"
"2017-05-26","PHI","CIN","1","0","1","0","0","6.0","26","6","5","5","2","2","5","7.50","3.00","3.00",".235","57.7 %","52.6 %","25.0 %","7.50","6.82","4.86","38"
"2017-05-21","PHI","@PIT","1","0","1","0","0","7.0","27","4","1","1","0","2","5","6.43","2.57","0.00",".211","85.7 %","52.6 %","0.0 %","1.29","3.01","4.03","72"
"2017-04-20","PHI","@NYM","1","1","0","0","0","5.0","24","7","4","4","1","4","2","3.60","7.20","1.80",".353","72.9 %","38.9 %","14.3 %","7.20","7.36","7.25","32"
"2017-04-14","PHI","@WSN","1","0","0","0","0","5.0","21","6","1","1","0","0","6","10.80","0.00","0.00",".400","83.3 %","73.3 %","0.0 %","1.80","0.76","1.47","61"
"2017-04-08","PHI","WSN","1","1","0","0","0","6.0","24","7","3","3","0","2","7","10.50","3.00","0.00",".467","66.7 %","53.3 %","0.0 %","4.50","1.82","3.01","56"
