catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Alfredo Gonzalez,554054,145,26,89.4,0.79,3,1.86,1.73,1.93,0,-.--,-.--,-.--
J.T. Realmuto,592663,146,27,87.8,0.70,23,1.90,1.88,1.90,2,1.47,1.46,1.48
Beau Taylor,607333,133,28,84.4,0.74,2,1.92,1.89,1.95,0,-.--,-.--,-.--
Chris Stewart,455755,109,36,78.3,0.56,3,1.88,1.90,1.87,0,-.--,-.--,-.--
Jorge Alfaro,595751,143,25,90.8,0.73,46,1.94,1.90,1.96,1,1.49,-.--,1.49
Kyle Higashioka,543309,147,28,81.7,0.70,6,1.95,1.90,1.96,2,1.65,1.55,1.75
Meibrys Viloria,650619,118,21,83.7,0.72,6,1.92,1.91,1.92,2,1.53,-.--,1.53
Willians Astudillo,553902,142,27,79.7,0.74,6,1.99,1.91,2.00,0,-.--,-.--,-.--
Michael Perez,605421,139,26,85.2,0.77,6,1.94,1.92,1.96,0,-.--,-.--,-.--
Tomas Nido,621512,121,24,82.2,0.70,11,1.94,1.92,1.94,1,1.53,-.--,1.53
Austin Hedges,595978,135,26,83.1,0.70,24,1.94,1.92,1.95,6,1.52,1.51,1.53
Gary Sanchez,596142,147,26,86.8,0.76,18,1.94,1.93,1.96,4,1.48,1.49,1.48
Manny Pina,444489,158,31,83.9,0.67,28,1.94,1.93,1.95,0,-.--,-.--,-.--
Blake Swihart,596119,111,26,85.7,0.76,11,1.97,1.93,2.01,1,1.54,-.--,1.54
Wilson Ramos,467092,143,31,82.3,0.71,15,1.99,1.94,2.01,7,1.60,1.56,1.61
Carlos Perez,542208,140,28,79.6,0.62,9,1.99,1.94,2.05,1,1.52,1.52,-.--
Reese McGuire,624512,141,23,79.7,0.64,10,1.95,1.94,1.95,0,-.--,-.--,-.--
Aramis Garcia,605244,137,25,,0.70,1,1.94,1.94,-.--,0,-.--,-.--,-.--
Grayson Greiner,606988,116,26,85.4,0.78,8,1.99,1.94,2.00,2,1.63,-.--,1.63
Welington Castillo,456078,145,31,80.1,0.62,13,1.96,1.95,1.97,1,1.54,1.54,-.--
Sandy Leon,506702,111,29,82.2,0.69,20,1.97,1.95,1.98,0,-.--,-.--,-.--
Chris Herrmann,543302,136,31,81.4,0.73,7,2.04,1.95,2.08,1,1.51,-.--,1.51
Dan Butler,576788,111,32,79.8,0.77,2,2.01,1.95,2.08,0,-.--,-.--,-.--
Willson Contreras,575929,112,26,86.2,0.74,30,1.96,1.96,1.96,3,1.55,1.54,1.55
Roberto Perez,547379,114,30,83.4,0.70,18,1.96,1.96,1.97,1,1.49,1.49,-.--
Yan Gomes,543228,114,31,81.2,0.66,36,1.93,1.96,1.92,4,1.75,1.57,1.80
Rene Rivera,425784,144,35,81.6,0.72,10,2.00,1.97,2.02,0,-.--,-.--,-.--
Cam Gallagher,595956,118,26,78.7,0.75,4,2.06,1.97,2.08,0,-.--,-.--,-.--
Alex Avila,488671,109,31,81.1,0.73,15,1.98,1.97,1.99,1,1.63,1.63,-.--
Raffy Lopez,607257,135,31,81.4,0.74,8,2.02,1.98,2.05,0,-.--,-.--,-.--
Spencer Kieboom,571851,120,27,80.2,0.69,15,1.99,1.98,1.99,1,1.60,-.--,1.60
Elias Diaz,553869,134,28,84.9,0.72,18,1.98,1.98,1.98,2,1.45,1.44,1.46
Salvador Perez,521692,118,28,82.0,0.68,38,1.98,1.98,1.96,1,1.53,-.--,1.53
Andrew Knapp,595284,143,27,82.7,0.75,24,2.03,1.98,2.04,1,1.57,-.--,1.57
Drew Butera,460077,115,35,85.7,0.75,18,1.98,1.98,1.97,3,1.54,-.--,1.54
Martin Maldonado,455117,117,32,87.5,0.77,20,1.97,1.98,1.97,4,1.61,1.58,1.62
Bryan Holaday,592407,146,31,81.9,0.73,22,2.00,1.99,2.02,1,1.49,-.--,1.49
Pedro Severino,600474,120,25,84.3,0.71,21,1.98,1.99,1.98,0,-.--,-.--,-.--
Jonathan Lucroy,518960,133,32,80.7,0.69,43,2.00,1.99,2.01,5,1.58,1.59,1.57
Matt Wieters,446308,120,32,80.0,0.71,22,2.01,1.99,2.02,4,1.56,1.55,1.58
Jacob Nottingham,641924,158,23,82.3,0.86,1,2.00,2.00,-.--,0,-.--,-.--,-.--
Mike Zunino,572287,136,27,81.2,0.72,25,2.02,2.00,2.04,2,1.69,1.64,1.74
Chad Wallach,595453,146,27,81.9,0.73,4,1.96,2.00,1.95,1,1.58,1.58,-.--
Juan Graterol,492802,142,29,81.6,0.80,1,2.00,2.00,-.--,0,-.--,-.--,-.--
Jose Lobaton,446653,121,34,,0.78,5,2.06,2.01,2.07,1,1.67,1.67,-.--
John Hicks,543308,116,29,84.4,0.70,10,1.97,2.01,1.96,1,1.61,-.--,1.61
Tony Wolters,547172,115,26,78.5,0.67,19,1.99,2.01,1.97,3,1.54,1.56,1.53
Buster Posey,457763,137,31,82.5,0.75,30,2.01,2.01,2.01,4,1.56,-.--,1.56
Nick Hundley,460026,137,35,80.3,0.74,30,2.04,2.01,2.05,2,1.60,1.60,-.--
Josh Phegley,572033,133,30,80.0,0.70,8,2.02,2.01,2.02,1,1.60,1.60,-.--
Adam Moore,446192,139,34,84.2,0.82,7,2.02,2.02,2.02,1,1.67,-.--,1.67
Jose Briceno,593993,108,26,81.2,0.69,12,2.00,2.02,1.99,0,-.--,-.--,-.--
Erik Kratz,456124,158,38,84.1,0.77,21,2.02,2.02,2.02,2,1.69,1.87,1.52
Tom Murphy,608596,115,27,85.4,0.77,7,2.02,2.02,2.02,0,-.--,-.--,-.--
Austin Wynns,642851,110,28,79.4,0.70,10,2.01,2.02,1.99,2,1.55,-.--,1.55
Kevan Smith,607345,145,30,82.8,0.72,21,2.01,2.02,2.00,0,-.--,-.--,-.--
Luke Maile,571912,141,27,83.0,0.71,34,1.99,2.02,1.97,3,1.66,1.76,1.61
Francisco Cervelli,465041,134,32,79.7,0.72,29,2.01,2.03,1.99,6,1.59,1.64,1.54
Jesus Sucre,491696,139,30,84.5,0.78,17,2.01,2.03,1.98,1,1.60,-.--,1.60
