"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Mookie Betts","Red Sox","18.0 %","59.2 %","35.2 %","70.8 %","92.8 %","86.3 %","41.8 %","53.8 %","4.8 %","11.8 %","13.0 %","355","13611"
"Mike Trout","Angels","21.3 %","59.5 %","37.5 %","71.4 %","91.4 %","84.9 %","42.5 %","59.1 %","5.7 %","19.4 %","19.6 %","428","10155"
"J.D. Martinez","Red Sox","33.1 %","79.6 %","51.2 %","58.5 %","82.9 %","73.3 %","39.1 %","60.2 %","13.7 %","23.9 %","9.6 %","397","6184"
"Jose Ramirez","Indians","23.5 %","64.8 %","40.5 %","76.4 %","92.6 %","87.1 %","41.3 %","54.4 %","5.2 %","11.5 %","13.6 %","419","13510"
"Max Muncy","Dodgers","19.7 %","55.7 %","35.0 %","57.0 %","85.1 %","76.0 %","42.5 %","58.1 %","8.4 %","23.3 %","18.6 %","279","13301"
"Jesus Aguilar","Brewers","36.5 %","60.6 %","46.1 %","60.1 %","85.1 %","73.2 %","39.7 %","61.4 %","12.4 %","26.3 %","10.4 %","316","11342"
"Nolan Arenado","Rockies","29.5 %","71.9 %","47.2 %","67.9 %","83.5 %","77.8 %","41.7 %","55.2 %","10.5 %","18.2 %","12.4 %","395","9777"
"Eugenio Suarez","Reds","25.8 %","72.0 %","46.0 %","60.0 %","87.7 %","78.9 %","43.7 %","59.5 %","9.7 %","19.5 %","11.5 %","348","12552"
"Manny Machado","Orioles","30.3 %","73.1 %","48.0 %","67.3 %","90.6 %","82.0 %","41.3 %","55.2 %","8.7 %","12.3 %","10.9 %","413","11493"
"Aaron Judge","Yankees","23.8 %","62.9 %","39.2 %","43.9 %","79.1 %","66.2 %","39.5 %","54.9 %","13.3 %","31.2 %","15.6 %","423","15640"
"Alex Bregman","Astros","21.1 %","59.8 %","37.9 %","79.0 %","91.1 %","87.3 %","43.3 %","53.2 %","4.8 %","12.2 %","12.9 %","434","17678"
"Freddie Freeman","Braves","33.6 %","83.9 %","54.3 %","68.7 %","84.6 %","78.9 %","41.3 %","58.8 %","11.5 %","18.8 %","12.6 %","420","5361"
"Shin-Soo Choo","Rangers","22.6 %","62.8 %","39.9 %","61.4 %","84.1 %","76.8 %","43.2 %","58.7 %","9.3 %","21.9 %","14.9 %","416","3174"
"Francisco Lindor","Indians","32.0 %","67.8 %","46.9 %","71.3 %","88.2 %","81.4 %","41.6 %","54.1 %","8.7 %","16.7 %","9.7 %","442","12916"
"Paul Goldschmidt","Diamondbacks","27.0 %","62.2 %","41.5 %","64.3 %","81.7 %","75.1 %","41.1 %","60.4 %","10.3 %","26.4 %","13.4 %","417","9218"
"J.T. Realmuto","Marlins","28.7 %","69.9 %","47.7 %","64.4 %","85.6 %","78.7 %","46.0 %","60.4 %","10.2 %","18.5 %","5.6 %","303","11739"
"Trevor Story","Rockies","29.6 %","74.4 %","48.9 %","59.5 %","87.8 %","78.0 %","43.1 %","60.7 %","10.7 %","25.2 %","7.7 %","405","12564"
"Andrew Benintendi","Red Sox","28.6 %","69.6 %","45.8 %","73.6 %","87.5 %","82.4 %","41.9 %","58.8 %","8.0 %","17.5 %","12.1 %","405","17901"
"Matt Carpenter","Cardinals","20.5 %","55.1 %","35.8 %","56.7 %","86.2 %","76.7 %","44.1 %","53.4 %","8.3 %","23.5 %","14.8 %","378","8090"
"Nelson Cruz","Mariners","31.2 %","71.3 %","46.4 %","48.8 %","87.0 %","71.0 %","37.7 %","52.0 %","13.5 %","19.5 %","9.9 %","333","2434"
"Joey Votto","Reds","16.6 %","68.5 %","39.5 %","78.9 %","86.9 %","85.0 %","44.2 %","57.1 %","5.9 %","14.9 %","17.3 %","422","4314"
"Scooter Gennett","Reds","36.6 %","73.8 %","52.1 %","75.5 %","86.4 %","81.9 %","41.6 %","60.4 %","9.4 %","19.0 %","6.7 %","389","10339"
"Eddie Rosario","Twins","41.1 %","77.4 %","56.2 %","70.0 %","83.1 %","77.5 %","41.7 %","58.9 %","12.7 %","18.0 %","6.0 %","401","12155"
"Xander Bogaerts","Red Sox","30.1 %","62.0 %","43.4 %","64.0 %","89.5 %","79.2 %","41.8 %","57.5 %","9.0 %","17.8 %","8.6 %","348","12161"
"Jose Altuve","Astros","34.4 %","68.6 %","48.1 %","71.9 %","90.8 %","82.7 %","39.9 %","65.9 %","8.3 %","12.2 %","9.0 %","434","5417"
"Nicholas Castellanos","Tigers","38.6 %","77.5 %","54.9 %","50.6 %","84.2 %","70.5 %","42.0 %","66.5 %","16.2 %","22.0 %","6.6 %","409","11737"
"Brandon Nimmo","Mets","22.2 %","66.1 %","41.7 %","57.0 %","82.3 %","74.8 %","44.5 %","64.6 %","10.5 %","28.9 %","11.9 %","311","12927"
"Nick Markakis","Braves","23.0 %","62.7 %","41.1 %","78.4 %","93.0 %","88.5 %","45.7 %","56.6 %","4.7 %","11.0 %","10.0 %","419","5930"
"Kris Bryant","Cubs","29.4 %","73.5 %","48.3 %","63.3 %","84.8 %","77.3 %","42.9 %","59.8 %","11.0 %","21.6 %","11.1 %","333","15429"
"Javier Baez","Cubs","48.3 %","81.3 %","60.9 %","57.3 %","82.0 %","70.0 %","38.3 %","68.5 %","18.3 %","24.9 %","3.8 %","365","12979"
"Matt Kemp","Dodgers","33.5 %","72.9 %","50.6 %","59.4 %","81.5 %","73.2 %","43.3 %","67.0 %","13.6 %","22.8 %","6.5 %","324","5631"
"Anthony Rendon","Nationals","30.1 %","68.6 %","47.0 %","78.3 %","91.8 %","87.0 %","44.0 %","65.1 %","6.1 %","15.9 %","9.8 %","327","12861"
"Brandon Belt","Giants","26.8 %","75.6 %","47.5 %","58.8 %","85.5 %","76.8 %","42.4 %","58.3 %","11.0 %","20.0 %","12.2 %","345","10264"
"Kyle Schwarber","Cubs","23.5 %","66.2 %","40.8 %","53.0 %","83.1 %","72.8 %","40.7 %","56.7 %","11.1 %","27.1 %","16.5 %","321","16478"
"Giancarlo Stanton","Yankees","33.7 %","65.5 %","45.7 %","49.7 %","79.0 %","65.6 %","37.8 %","57.2 %","15.7 %","31.3 %","8.4 %","416","4949"
"Charlie Blackmon","Rockies","31.2 %","66.2 %","46.8 %","71.1 %","90.4 %","83.3 %","44.7 %","58.4 %","7.8 %","19.2 %","8.6 %","406","7859"
"Jed Lowrie","Athletics","26.1 %","74.1 %","46.7 %","67.9 %","88.6 %","82.0 %","42.8 %","61.1 %","8.4 %","19.7 %","9.9 %","406","4418"
"Jesse Winker","Reds","21.4 %","64.8 %","40.1 %","69.9 %","92.6 %","85.7 %","43.2 %","54.1 %","5.7 %","13.8 %","15.1 %","318","13590"
"Justin Smoak","Blue Jays","22.1 %","63.1 %","39.4 %","61.1 %","85.1 %","77.3 %","42.2 %","54.9 %","9.0 %","24.7 %","15.2 %","368","9054"
"Mitch Moreland","Red Sox","27.7 %","72.0 %","46.1 %","55.2 %","87.6 %","76.2 %","41.5 %","52.5 %","11.0 %","20.6 %","10.8 %","286","3086"
"Michael Brantley","Indians","26.2 %","66.8 %","44.1 %","75.8 %","96.9 %","89.9 %","44.2 %","58.9 %","4.5 %","8.3 %","6.7 %","372","4106"
"Lorenzo Cain","Brewers","22.4 %","63.3 %","40.3 %","65.6 %","88.4 %","81.3 %","43.8 %","60.1 %","7.5 %","16.8 %","13.4 %","351","9077"
"Jose Martinez","Cardinals","28.8 %","62.6 %","42.3 %","70.2 %","89.3 %","81.5 %","40.0 %","58.3 %","7.8 %","15.5 %","9.3 %","355","7996"
"Mitch Haniger","Mariners","26.0 %","61.8 %","41.5 %","59.1 %","86.2 %","76.5 %","43.1 %","56.9 %","9.7 %","23.3 %","11.0 %","399","14274"
"Daniel Descalso","Diamondbacks","22.7 %","67.4 %","42.6 %","55.7 %","85.9 %","77.0 %","44.5 %","59.2 %","9.8 %","24.9 %","14.4 %","277","8392"
"Aaron Hicks","Yankees","21.2 %","68.4 %","41.6 %","65.2 %","82.3 %","77.4 %","43.2 %","50.3 %","9.4 %","19.5 %","12.9 %","318","5297"
"Wilson Ramos","Rays","39.4 %","78.3 %","54.2 %","65.9 %","87.5 %","77.8 %","38.0 %","65.4 %","12.0 %","19.4 %","7.0 %","315","1433"
"Joc Pederson","Dodgers","29.9 %","62.6 %","43.7 %","68.0 %","83.9 %","77.6 %","42.0 %","61.1 %","9.8 %","15.1 %","10.6 %","265","11899"
