"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Christian Yelich","Brewers","30.1 %","66.6 %","45.4 %","68.6 %","88.0 %","80.5 %","41.9 %","63.6 %","8.8 %","17.7 %","11.9 %","294","11477"
"Justin Turner","Dodgers","25.9 %","61.7 %","41.7 %","78.3 %","92.2 %","87.4 %","44.1 %","59.9 %","5.3 %","14.3 %","11.0 %","237","5235"
"Ronald Acuna Jr.","Braves","24.6 %","74.1 %","44.9 %","62.7 %","80.9 %","75.0 %","41.0 %","58.4 %","11.2 %","22.1 %","10.9 %","303","18401"
"Tommy Pham","- - -","21.6 %","59.6 %","38.4 %","55.8 %","85.0 %","75.8 %","44.1 %","59.5 %","9.3 %","23.0 %","13.4 %","217","2967"
"Mookie Betts","Red Sox","22.1 %","54.2 %","36.1 %","70.5 %","93.2 %","85.4 %","43.7 %","59.5 %","5.3 %","18.9 %","13.5 %","259","13611"
"J.D. Martinez","Red Sox","33.3 %","71.5 %","48.9 %","59.7 %","84.2 %","74.3 %","40.7 %","58.3 %","12.6 %","20.2 %","12.3 %","252","6184"
"Bryce Harper","Nationals","22.9 %","76.5 %","44.0 %","59.9 %","80.6 %","74.1 %","39.3 %","54.8 %","11.4 %","23.8 %","18.5 %","281","11579"
"Anthony Rizzo","Cubs","37.7 %","66.3 %","49.0 %","78.0 %","89.9 %","84.4 %","39.5 %","60.1 %","7.7 %","11.6 %","11.3 %","293","3473"
"Matt Chapman","Athletics","24.2 %","65.0 %","41.7 %","64.5 %","88.9 %","80.8 %","42.8 %","58.0 %","8.0 %","23.8 %","8.0 %","286","16505"
"Brandon Nimmo","Mets","16.4 %","60.4 %","36.0 %","58.4 %","83.2 %","76.9 %","44.5 %","60.7 %","8.3 %","22.3 %","19.2 %","224","12927"
"Anthony Rendon","Nationals","27.2 %","71.9 %","48.5 %","78.8 %","92.6 %","88.5 %","47.7 %","58.5 %","5.6 %","11.1 %","8.5 %","270","12861"
"Shohei Ohtani","Angels","32.2 %","66.3 %","45.9 %","60.0 %","81.9 %","72.8 %","40.4 %","59.1 %","12.5 %","28.1 %","9.0 %","210","19755"
"Alex Bregman","Astros","18.3 %","61.6 %","35.9 %","79.5 %","95.6 %","90.7 %","40.6 %","55.4 %","3.3 %","11.8 %","14.8 %","271","17678"
"Paul Goldschmidt","Diamondbacks","31.6 %","62.7 %","43.8 %","69.8 %","83.1 %","77.3 %","39.2 %","57.1 %","10.0 %","23.1 %","12.5 %","273","9218"
"Joey Gallo","Rangers","29.9 %","78.4 %","48.5 %","48.5 %","68.2 %","60.7 %","38.2 %","59.0 %","19.1 %","35.4 %","13.2 %","212","14128"
"Max Muncy","Dodgers","24.0 %","60.5 %","39.7 %","59.2 %","74.5 %","69.2 %","42.9 %","53.0 %","12.2 %","32.7 %","13.4 %","202","13301"
"David Peralta","Diamondbacks","32.6 %","68.3 %","48.5 %","68.6 %","82.2 %","77.1 %","44.6 %","62.3 %","11.1 %","18.2 %","8.1 %","236","2136"
"Juan Soto","Nationals","19.4 %","59.5 %","37.0 %","69.5 %","86.9 %","81.8 %","43.8 %","59.0 %","6.7 %","20.4 %","16.1 %","285","20123"
"Miguel Andujar","Yankees","43.7 %","75.0 %","55.5 %","72.2 %","92.2 %","82.4 %","37.7 %","62.9 %","9.8 %","14.2 %","3.4 %","267","15878"
"Khris Davis","Athletics","29.9 %","77.5 %","49.4 %","51.0 %","77.8 %","68.2 %","40.9 %","59.1 %","15.7 %","26.7 %","10.0 %","281","9112"
"Trevor Story","Rockies","36.7 %","75.0 %","52.8 %","61.4 %","86.3 %","76.2 %","42.0 %","59.8 %","12.5 %","26.3 %","6.4 %","251","12564"
"Michael Conforto","Mets","27.9 %","65.9 %","43.5 %","56.8 %","87.1 %","75.6 %","41.1 %","59.9 %","10.6 %","25.0 %","10.6 %","292","16376"
"Randal Grichuk","Blue Jays","35.8 %","74.6 %","51.7 %","49.0 %","85.9 %","70.8 %","41.0 %","60.3 %","15.1 %","26.9 %","5.0 %","242","10243"
"Mitch Haniger","Mariners","25.7 %","63.6 %","42.2 %","64.0 %","88.4 %","80.0 %","43.7 %","60.2 %","8.4 %","19.4 %","9.2 %","284","14274"
"Rhys Hoskins","Phillies","20.9 %","59.4 %","38.0 %","66.9 %","88.4 %","81.9 %","44.4 %","50.0 %","6.9 %","19.7 %","12.4 %","290","16472"
"Edwin Encarnacion","Indians","29.6 %","68.3 %","44.4 %","60.4 %","84.2 %","74.5 %","38.4 %","52.4 %","11.4 %","22.2 %","11.8 %","212","2151"
"Charlie Blackmon","Rockies","32.8 %","67.2 %","48.3 %","68.2 %","87.7 %","80.4 %","45.0 %","62.8 %","9.5 %","19.3 %","8.3 %","290","7859"
"Xander Bogaerts","Red Sox","30.2 %","60.2 %","42.9 %","68.5 %","89.1 %","80.8 %","42.5 %","55.6 %","8.2 %","17.2 %","10.8 %","232","12161"
"Stephen Piscotty","Athletics","41.1 %","74.9 %","54.9 %","58.5 %","89.3 %","75.7 %","40.7 %","65.9 %","13.4 %","17.2 %","6.9 %","261","13367"
"Jeff McNeil","Mets","35.3 %","84.2 %","56.0 %","74.9 %","90.9 %","85.1 %","42.2 %","64.5 %","8.4 %","9.7 %","5.6 %","248","15362"
"Matt Carpenter","Cardinals","21.7 %","61.2 %","38.7 %","56.3 %","88.2 %","78.0 %","43.1 %","52.2 %","8.5 %","23.1 %","15.4 %","299","8090"
"Joey Wendle","Rays","34.8 %","61.9 %","45.2 %","76.0 %","93.9 %","85.4 %","38.4 %","56.6 %","6.6 %","11.6 %","8.0 %","249","13853"
"Andrew McCutchen","- - -","18.0 %","59.9 %","36.3 %","70.6 %","85.8 %","81.6 %","43.9 %","57.1 %","6.7 %","20.5 %","17.6 %","273","9847"
"Marcell Ozuna","Cardinals","32.7 %","74.6 %","49.6 %","64.3 %","88.0 %","78.7 %","40.4 %","60.6 %","10.6 %","14.7 %","6.8 %","251","10324"
"Ketel Marte","Diamondbacks","29.1 %","65.6 %","44.4 %","74.8 %","87.3 %","82.6 %","42.1 %","56.3 %","7.7 %","14.7 %","10.7 %","224","13613"
"Ben Zobrist","Cubs","27.3 %","59.9 %","41.5 %","82.0 %","92.8 %","88.8 %","43.6 %","57.5 %","4.7 %","11.0 %","7.5 %","228","7435"
"Javier Baez","Cubs","42.2 %","74.0 %","53.9 %","51.6 %","81.1 %","66.6 %","36.9 %","63.9 %","18.0 %","27.1 %","5.4 %","280","12979"
"Justin Upton","Angels","24.8 %","67.8 %","43.9 %","55.6 %","74.9 %","68.8 %","44.4 %","57.9 %","13.7 %","31.1 %","8.1 %","209","5222"
"Marwin Gonzalez","Astros","33.2 %","64.2 %","46.1 %","61.5 %","88.2 %","77.0 %","41.5 %","61.3 %","10.6 %","21.2 %","9.7 %","217","5497"
"Aaron Hicks","Yankees","20.5 %","61.8 %","37.2 %","69.3 %","83.3 %","78.8 %","40.5 %","56.3 %","7.9 %","18.6 %","18.6 %","263","5297"
"Jurickson Profar","Rangers","37.1 %","69.7 %","49.9 %","71.9 %","87.5 %","80.5 %","39.3 %","62.3 %","9.8 %","17.2 %","10.2 %","244","10815"
"Nolan Arenado","Rockies","39.0 %","75.6 %","54.1 %","64.2 %","85.8 %","76.6 %","41.1 %","63.0 %","12.6 %","18.0 %","8.6 %","278","9777"
"Aledmys Diaz","Blue Jays","42.3 %","78.7 %","58.3 %","63.0 %","89.9 %","79.0 %","44.0 %","71.0 %","12.3 %","13.3 %","6.2 %","210","15937"
"Johan Camargo","Braves","41.7 %","71.5 %","53.6 %","64.7 %","83.2 %","74.5 %","39.9 %","60.1 %","13.6 %","22.5 %","7.0 %","258","14950"
"Mallex Smith","Rays","27.5 %","72.4 %","47.5 %","66.2 %","85.0 %","79.0 %","44.7 %","54.1 %","10.0 %","15.7 %","9.5 %","242","13608"
"Daniel Murphy","- - -","36.3 %","72.5 %","52.6 %","76.3 %","94.1 %","87.3 %","45.0 %","61.8 %","6.7 %","13.0 %","4.7 %","254","4316"
"Josh Bell","Pirates","23.8 %","69.6 %","41.6 %","62.5 %","82.9 %","75.8 %","39.0 %","56.0 %","10.1 %","17.7 %","16.3 %","209","13145"
"Adam Eaton","Nationals","26.3 %","61.7 %","41.6 %","72.8 %","90.6 %","84.3 %","43.4 %","58.7 %","6.6 %","18.2 %","12.4 %","225","11205"
"Travis Shaw","Brewers","31.3 %","66.3 %","45.8 %","68.6 %","86.8 %","79.5 %","41.4 %","58.6 %","9.4 %","22.3 %","14.0 %","215","11982"
"Melky Cabrera","Indians","33.4 %","64.3 %","45.7 %","74.2 %","92.2 %","84.3 %","39.9 %","60.9 %","7.2 %","13.2 %","8.0 %","212","4022"
"Lorenzo Cain","Brewers","28.5 %","66.5 %","45.2 %","73.0 %","94.3 %","86.8 %","43.9 %","60.2 %","6.0 %","13.0 %","8.9 %","269","9077"
"Willy Adames","Rays","25.3 %","70.4 %","45.3 %","58.3 %","81.2 %","74.1 %","44.3 %","54.8 %","11.7 %","26.8 %","11.0 %","228","15986"
"Michael Brantley","Indians","28.2 %","64.5 %","44.0 %","82.2 %","97.8 %","92.2 %","43.5 %","56.8 %","3.5 %","11.2 %","8.9 %","259","4106"
"Adalberto Mondesi","Royals","35.0 %","79.0 %","53.5 %","47.0 %","78.6 %","66.6 %","42.0 %","66.8 %","17.9 %","26.3 %","4.1 %","217","13769"
"Yasmani Grandal","Dodgers","22.8 %","57.3 %","38.4 %","59.7 %","81.9 %","74.7 %","45.3 %","52.4 %","9.7 %","26.9 %","16.0 %","212","11368"
"Freddie Freeman","Braves","35.9 %","86.7 %","57.3 %","64.2 %","83.2 %","76.3 %","42.2 %","62.4 %","13.6 %","18.5 %","8.0 %","287","5361"
"Giancarlo Stanton","Yankees","30.9 %","64.9 %","43.8 %","55.9 %","82.5 %","70.9 %","37.9 %","56.1 %","12.7 %","28.0 %","12.1 %","289","4949"
"Jackie Bradley Jr.","Red Sox","29.5 %","71.1 %","48.0 %","57.2 %","79.0 %","71.6 %","44.5 %","62.8 %","13.6 %","27.4 %","8.8 %","215","12984"
"Matt Olson","Athletics","26.2 %","68.9 %","44.6 %","65.9 %","81.7 %","76.4 %","43.1 %","57.4 %","10.5 %","24.0 %","11.4 %","263","14344"
"Joey Votto","Reds","16.0 %","68.9 %","40.1 %","77.5 %","86.4 %","84.5 %","45.6 %","53.2 %","6.2 %","18.9 %","17.4 %","201","4314"
"Nicholas Castellanos","Tigers","38.7 %","80.8 %","55.3 %","55.3 %","84.7 %","72.2 %","39.4 %","63.6 %","15.4 %","22.7 %","8.2 %","269","11737"
