"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Aaron Judge","Yankees","24.1 %","66.9 %","41.5 %","44.8 %","80.6 %","68.2 %","40.6 %","59.6 %","13.2 %","29.8 %","16.7 %","366","15640"
"Justin Turner","Dodgers","25.7 %","68.1 %","43.7 %","73.3 %","89.4 %","84.0 %","42.5 %","51.1 %","7.0 %","10.6 %","11.7 %","274","5235"
"Joey Votto","Reds","18.2 %","73.9 %","43.8 %","78.3 %","90.1 %","87.5 %","46.0 %","55.7 %","5.5 %","10.9 %","16.1 %","384","4314"
"Bryce Harper","Nationals","28.0 %","72.5 %","47.4 %","57.6 %","86.2 %","76.7 %","43.6 %","53.9 %","11.1 %","19.0 %","15.7 %","364","11579"
"Paul Goldschmidt","Diamondbacks","24.2 %","66.4 %","43.3 %","66.5 %","80.2 %","76.0 %","45.4 %","59.3 %","10.4 %","20.2 %","15.0 %","381","9218"
"George Springer","Astros","23.0 %","72.8 %","45.6 %","54.4 %","84.6 %","76.2 %","45.4 %","56.6 %","10.8 %","22.0 %","9.0 %","378","12856"
"Jose Ramirez","Indians","25.7 %","66.8 %","43.5 %","74.8 %","93.2 %","87.1 %","43.4 %","55.1 %","5.6 %","11.6 %","8.3 %","361","13510"
"Carlos Correa","Astros","27.8 %","62.8 %","42.5 %","65.2 %","89.0 %","80.0 %","42.0 %","58.7 %","8.5 %","18.7 %","11.3 %","363","14162"
"Jose Altuve","Astros","32.3 %","66.4 %","46.3 %","76.4 %","91.4 %","85.3 %","41.2 %","67.4 %","6.8 %","12.1 %","9.7 %","380","5417"
"Marwin Gonzalez","Astros","28.8 %","58.9 %","41.2 %","70.8 %","88.0 %","80.9 %","41.3 %","55.8 %","7.9 %","20.2 %","10.5 %","258","5497"
"Anthony Rendon","Nationals","21.0 %","64.5 %","41.3 %","75.3 %","92.3 %","87.7 %","46.6 %","59.9 %","5.1 %","13.9 %","14.2 %","339","12861"
"Ryan Zimmerman","Nationals","32.5 %","62.9 %","45.8 %","71.4 %","85.9 %","80.1 %","43.7 %","59.3 %","9.1 %","19.1 %","6.8 %","324","4220"
"Daniel Murphy","Nationals","30.5 %","66.4 %","47.2 %","80.2 %","94.9 %","89.8 %","46.3 %","56.5 %","4.8 %","9.3 %","7.6 %","356","4316"
"Zack Cozart","Reds","24.0 %","60.6 %","40.9 %","70.8 %","92.5 %","85.6 %","46.1 %","61.6 %","5.9 %","16.9 %","11.6 %","284","2616"
"Michael Conforto","Mets","27.3 %","63.6 %","42.7 %","58.0 %","82.0 %","73.2 %","42.4 %","53.9 %","11.5 %","24.5 %","13.9 %","273","16376"
"Charlie Blackmon","Rockies","31.1 %","65.4 %","47.3 %","68.4 %","90.8 %","83.0 %","47.2 %","61.1 %","8.0 %","20.0 %","7.1 %","406","7859"
"Marcell Ozuna","Marlins","33.2 %","74.5 %","50.5 %","58.2 %","83.1 %","73.6 %","42.0 %","64.0 %","13.3 %","22.8 %","8.6 %","372","10324"
"Kris Bryant","Cubs","26.8 %","70.3 %","45.7 %","63.8 %","85.0 %","78.0 %","43.5 %","56.8 %","10.1 %","20.4 %","16.3 %","363","15429"
"Travis Shaw","Brewers","27.7 %","65.3 %","43.8 %","70.8 %","87.7 %","81.5 %","42.7 %","49.7 %","8.1 %","21.1 %","9.0 %","332","11982"
"Justin Smoak","Blue Jays","27.0 %","66.3 %","43.5 %","62.0 %","90.8 %","80.5 %","42.0 %","58.3 %","8.5 %","19.2 %","9.3 %","333","9054"
"Cody Bellinger","Dodgers","26.9 %","65.9 %","43.6 %","56.0 %","73.4 %","67.2 %","42.8 %","51.7 %","14.3 %","29.1 %","11.3 %","292","15998"
"Eric Thames","Brewers","24.6 %","67.8 %","41.5 %","52.2 %","78.6 %","69.1 %","39.2 %","53.5 %","12.8 %","27.1 %","15.5 %","329","3711"
"Yonder Alonso","Athletics","27.4 %","73.4 %","45.7 %","60.3 %","84.9 %","76.0 %","39.7 %","49.7 %","11.0 %","23.2 %","13.1 %","298","2530"
"Giancarlo Stanton","Marlins","28.7 %","69.5 %","45.4 %","51.0 %","84.1 %","71.7 %","40.9 %","56.9 %","12.8 %","23.8 %","10.6 %","369","4949"
"Buster Posey","Giants","26.4 %","66.7 %","44.1 %","78.0 %","88.9 %","85.2 %","43.9 %","52.5 %","6.5 %","10.4 %","10.4 %","318","9166"
"Andrew McCutchen","Pirates","22.7 %","67.1 %","43.2 %","72.5 %","84.6 %","81.2 %","46.0 %","57.3 %","8.1 %","16.3 %","11.8 %","363","9847"
"Logan Morrison","Rays","26.4 %","70.3 %","44.9 %","62.4 %","84.7 %","77.1 %","42.3 %","54.3 %","10.3 %","22.5 %","14.5 %","346","9205"
"Justin Bour","Marlins","32.5 %","62.3 %","44.9 %","58.6 %","83.5 %","73.0 %","41.5 %","55.4 %","12.1 %","21.3 %","10.8 %","305","9744"
"Corey Seager","Dodgers","25.4 %","76.4 %","46.7 %","51.0 %","88.9 %","76.9 %","41.8 %","62.2 %","10.8 %","22.6 %","13.5 %","349","13624"
"Jake Lamb","Diamondbacks","22.9 %","63.0 %","41.2 %","55.8 %","87.4 %","77.9 %","45.7 %","54.5 %","9.1 %","25.1 %","13.4 %","367","13329"
"Mark Reynolds","Rockies","25.1 %","65.6 %","43.3 %","42.3 %","77.5 %","66.3 %","45.0 %","60.7 %","14.6 %","28.5 %","13.0 %","354","7619"
"Miguel Sano","Twins","27.1 %","74.6 %","47.5 %","41.4 %","74.2 %","63.5 %","42.8 %","61.7 %","17.4 %","34.8 %","12.8 %","345","12164"
"Corey Dickerson","Rays","46.8 %","77.4 %","58.8 %","73.2 %","77.2 %","75.3 %","39.2 %","61.4 %","14.5 %","21.4 %","5.7 %","370","10762"
"Anthony Rizzo","Cubs","30.5 %","66.6 %","46.4 %","73.8 %","90.3 %","84.2 %","44.0 %","60.1 %","7.3 %","11.1 %","14.0 %","386","3473"
"Trey Mancini","Orioles","33.7 %","71.2 %","50.6 %","56.5 %","77.7 %","70.0 %","45.1 %","63.6 %","15.2 %","26.4 %","5.7 %","280","15149"
"Nelson Cruz","Mariners","28.5 %","71.4 %","47.1 %","54.2 %","81.0 %","71.8 %","43.3 %","58.4 %","13.3 %","18.6 %","10.8 %","344","2434"
"Domingo Santana","Brewers","28.3 %","70.4 %","46.6 %","54.7 %","80.2 %","71.4 %","43.4 %","61.3 %","13.3 %","26.9 %","12.7 %","346","10348"
"Nolan Arenado","Rockies","31.7 %","72.2 %","48.9 %","63.6 %","87.3 %","78.5 %","42.7 %","56.7 %","10.5 %","16.5 %","7.0 %","388","9777"
"Jean Segura","Mariners","35.4 %","67.3 %","50.9 %","76.8 %","90.0 %","85.3 %","48.6 %","59.0 %","7.5 %","15.0 %","5.1 %","273","5933"
"Aaron Altherr","Phillies","26.4 %","61.7 %","42.8 %","52.8 %","83.6 %","73.4 %","46.4 %","62.1 %","11.4 %","26.2 %","8.1 %","298","11270"
"Matt Holliday","Yankees","26.2 %","62.9 %","41.9 %","52.9 %","82.9 %","72.2 %","42.9 %","64.5 %","11.7 %","25.7 %","13.4 %","276","1873"
"Steven Souza Jr.","Rays","24.3 %","73.3 %","45.0 %","52.2 %","77.5 %","69.6 %","42.2 %","59.0 %","13.7 %","28.5 %","12.7 %","361","5667"
"Jedd Gyorko","Cardinals","28.3 %","70.9 %","47.4 %","54.5 %","86.1 %","75.7 %","44.7 %","60.0 %","11.5 %","21.3 %","9.5 %","305","10816"
"Jonathan Schoop","Orioles","34.8 %","72.6 %","50.5 %","56.7 %","84.9 %","73.5 %","41.4 %","58.5 %","13.4 %","21.9 %","5.4 %","352","11265"
"Josh Reddick","Astros","26.2 %","65.1 %","42.5 %","74.0 %","92.1 %","85.6 %","42.0 %","55.5 %","6.1 %","13.4 %","8.4 %","299","3892"
"Eric Hosmer","Royals","31.6 %","73.7 %","49.9 %","62.9 %","87.4 %","78.6 %","43.5 %","61.2 %","10.7 %","15.3 %","8.5 %","366","3516"
"Jose Abreu","White Sox","31.0 %","67.9 %","47.3 %","67.2 %","90.0 %","81.6 %","44.2 %","56.5 %","8.7 %","16.5 %","5.9 %","375","15676"
"Edwin Encarnacion","Indians","23.1 %","67.3 %","42.7 %","59.0 %","82.6 %","75.5 %","44.4 %","51.8 %","10.5 %","22.3 %","14.2 %","367","2151"
"Jay Bruce","Mets","30.9 %","76.5 %","50.6 %","60.6 %","82.3 %","74.8 %","43.1 %","58.7 %","12.8 %","21.6 %","9.3 %","356","9892"
"Adam Duvall","Reds","33.2 %","66.6 %","48.2 %","64.8 %","84.0 %","76.6 %","44.7 %","66.5 %","11.3 %","25.1 %","5.9 %","355","10950"
"Chris Taylor","Dodgers","24.7 %","69.2 %","45.3 %","49.3 %","86.5 %","75.6 %","46.3 %","63.9 %","11.1 %","28.2 %","11.2 %","277","13757"
"Jackie Bradley Jr.","Red Sox","29.0 %","67.8 %","46.0 %","60.2 %","81.5 %","74.0 %","43.8 %","53.4 %","12.0 %","19.9 %","10.6 %","292","12984"
"Avisail Garcia","White Sox","42.5 %","82.5 %","60.0 %","56.1 %","84.1 %","73.0 %","43.8 %","63.8 %","16.2 %","21.3 %","4.1 %","320","5760"
"David Peralta","Diamondbacks","31.2 %","72.9 %","49.1 %","63.6 %","89.9 %","80.4 %","42.8 %","58.7 %","9.6 %","14.8 %","6.6 %","305","2136"
"Justin Upton","Tigers","26.5 %","67.7 %","45.4 %","57.7 %","79.5 %","72.6 %","45.9 %","60.8 %","12.4 %","26.7 %","10.9 %","329","5222"
"Ben Gamel","Mariners","25.5 %","63.3 %","43.0 %","63.3 %","86.3 %","79.0 %","46.2 %","59.4 %","9.0 %","24.0 %","8.5 %","283","12160"
"Scott Schebler","Reds","34.8 %","77.0 %","53.0 %","60.5 %","81.9 %","73.9 %","43.2 %","59.4 %","13.8 %","20.6 %","7.6 %","330","12225"
"Matt Carpenter","Cardinals","17.2 %","55.9 %","34.5 %","65.1 %","88.9 %","82.3 %","44.6 %","58.7 %","6.1 %","18.6 %","17.5 %","361","8090"
"Mike Moustakas","Royals","42.5 %","76.4 %","57.2 %","68.6 %","89.1 %","80.5 %","43.4 %","59.3 %","11.2 %","17.0 %","4.6 %","329","4892"
"Khris Davis","Athletics","28.1 %","74.5 %","47.1 %","45.8 %","79.7 %","67.8 %","41.0 %","58.7 %","15.2 %","31.8 %","11.7 %","368","9112"
"Starlin Castro","Yankees","34.3 %","72.3 %","50.6 %","63.8 %","89.3 %","79.5 %","43.0 %","64.5 %","10.4 %","19.2 %","4.8 %","313","4579"
"Mookie Betts","Red Sox","21.7 %","55.0 %","36.6 %","75.8 %","92.3 %","86.9 %","44.7 %","56.4 %","4.8 %","8.3 %","10.5 %","399","13611"
"Salvador Perez","Royals","48.1 %","73.4 %","58.2 %","69.7 %","91.1 %","80.5 %","40.0 %","62.5 %","11.4 %","19.4 %","3.5 %","315","7304"
"Brandon Belt","Giants","22.0 %","75.4 %","45.4 %","61.3 %","82.2 %","76.5 %","43.8 %","54.1 %","10.7 %","23.2 %","13.9 %","375","10264"
"Neil Walker","Mets","25.9 %","64.0 %","42.8 %","74.4 %","87.4 %","83.0 %","44.3 %","61.0 %","7.3 %","14.2 %","10.2 %","254","7539"
"J.T. Realmuto","Marlins","29.2 %","64.7 %","47.0 %","70.4 %","89.1 %","83.3 %","50.1 %","62.7 %","7.8 %","15.9 %","6.8 %","308","11739"
"Elvis Andrus","Rangers","33.5 %","64.0 %","47.7 %","63.2 %","91.4 %","80.8 %","46.5 %","65.5 %","9.2 %","16.2 %","6.3 %","365","8709"
"Michael A. Taylor","Nationals","30.3 %","70.0 %","49.2 %","51.6 %","77.5 %","69.1 %","47.5 %","66.2 %","15.2 %","31.2 %","6.2 %","260","11489"
"Matt Kemp","Braves","35.0 %","78.3 %","52.8 %","61.1 %","79.7 %","72.4 %","41.0 %","64.4 %","14.6 %","22.2 %","6.7 %","315","5631"
"Michael Brantley","Indians","23.9 %","67.1 %","44.2 %","72.9 %","94.3 %","88.2 %","47.0 %","60.1 %","5.2 %","14.4 %","9.0 %","278","4106"
"Dexter Fowler","Cardinals","25.4 %","67.1 %","43.8 %","65.0 %","90.6 %","82.3 %","44.1 %","59.1 %","7.8 %","20.6 %","11.5 %","286","4062"
"Eugenio Suarez","Reds","24.9 %","64.7 %","42.2 %","61.7 %","87.6 %","78.9 %","43.4 %","62.7 %","8.9 %","23.4 %","12.4 %","346","12552"
"Josh Harrison","Pirates","35.0 %","72.2 %","51.4 %","74.2 %","85.8 %","81.4 %","44.2 %","60.6 %","9.6 %","16.0 %","6.0 %","368","8202"
"Joey Gallo","Rangers","33.4 %","74.8 %","48.0 %","39.3 %","75.0 %","58.9 %","35.3 %","58.4 %","19.7 %","38.5 %","13.4 %","291","14128"
"Jed Lowrie","Athletics","24.4 %","75.8 %","49.5 %","70.5 %","88.3 %","83.8 %","48.8 %","64.8 %","8.0 %","17.9 %","8.9 %","358","4418"
"Xander Bogaerts","Red Sox","35.4 %","52.7 %","43.5 %","65.9 %","89.9 %","79.5 %","46.9 %","61.0 %","8.9 %","18.5 %","7.1 %","351","12161"
"Brett Gardner","Yankees","21.5 %","52.5 %","35.8 %","70.4 %","91.0 %","84.3 %","46.2 %","52.9 %","5.6 %","19.8 %","12.1 %","363","9927"
