"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Alex Bregman","Astros","20.0 %","57.7 %","34.7 %","81.6 %","91.8 %","88.2 %","39.0 %","55.4 %","4.1 %","10.8 %","17.6 %","296","17678"
"Nelson Cruz","Twins","31.6 %","72.2 %","47.3 %","52.3 %","82.7 %","70.3 %","38.7 %","55.1 %","14.1 %","22.0 %","10.6 %","254","2434"
"Ketel Marte","Diamondbacks","29.2 %","71.1 %","45.1 %","72.7 %","90.0 %","83.1 %","37.9 %","55.7 %","7.6 %","13.1 %","11.1 %","244","13613"
"Eugenio Suarez","Reds","28.1 %","66.5 %","43.3 %","51.5 %","83.7 %","71.1 %","39.6 %","60.3 %","12.5 %","30.6 %","11.8 %","297","12552"
"Jorge Soler","Royals","25.8 %","67.3 %","41.4 %","50.2 %","83.0 %","70.3 %","37.6 %","59.7 %","12.3 %","23.0 %","14.8 %","305","14221"
"Christian Yelich","Brewers","30.8 %","71.3 %","44.5 %","57.5 %","86.2 %","73.1 %","34.0 %","47.0 %","12.0 %","23.3 %","13.0 %","215","11477"
"Mike Trout","Angels","21.2 %","65.7 %","39.2 %","63.7 %","83.9 %","77.4 %","40.3 %","55.5 %","8.9 %","24.4 %","16.3 %","209","10155"
"Yordan Alvarez","Astros","30.5 %","63.7 %","43.2 %","63.5 %","85.4 %","75.9 %","38.3 %","54.0 %","10.4 %","25.4 %","15.0 %","287","19556"
"Anthony Rendon","Nationals","24.5 %","68.0 %","42.4 %","81.9 %","94.8 %","90.4 %","41.2 %","59.9 %","4.1 %","11.5 %","14.6 %","322","12861"
"Marcus Semien","Athletics","22.0 %","68.3 %","41.1 %","66.1 %","88.3 %","81.3 %","41.2 %","60.4 %","7.7 %","14.2 %","12.7 %","323","12533"
"Keston Hiura","Brewers","33.6 %","73.0 %","50.1 %","48.7 %","77.7 %","66.4 %","41.8 %","58.8 %","16.8 %","30.3 %","8.4 %","238","20003"
"Yuli Gurriel","Astros","35.3 %","71.8 %","49.8 %","76.3 %","91.1 %","84.8 %","39.9 %","61.4 %","7.6 %","11.2 %","6.9 %","259","19198"
"Jose Altuve","Astros","34.0 %","67.7 %","47.5 %","74.5 %","86.7 %","81.5 %","40.2 %","65.5 %","8.8 %","15.5 %","6.8 %","310","5417"
"Anthony Rizzo","Cubs","34.7 %","67.6 %","46.6 %","76.6 %","88.5 %","82.8 %","36.0 %","50.0 %","8.0 %","13.0 %","11.3 %","238","3473"
"J.D. Davis","Mets","28.1 %","74.1 %","48.5 %","64.0 %","79.7 %","74.6 %","44.3 %","60.5 %","12.3 %","22.7 %","8.6 %","233","16219"
"Mookie Betts","Red Sox","25.0 %","66.9 %","42.8 %","68.5 %","93.3 %","85.0 %","42.7 %","56.3 %","6.4 %","14.2 %","10.1 %","288","13611"
"Kyle Schwarber","Cubs","26.4 %","64.9 %","42.0 %","60.0 %","82.1 %","73.9 %","40.5 %","51.4 %","11.0 %","21.8 %","10.5 %","257","16478"
"Nolan Arenado","Rockies","36.3 %","71.9 %","50.3 %","68.3 %","89.2 %","80.0 %","39.2 %","61.4 %","10.1 %","14.3 %","9.3 %","280","9777"
"George Springer","Astros","23.4 %","69.4 %","42.6 %","61.8 %","83.8 %","76.7 %","41.8 %","57.6 %","9.9 %","20.1 %","12.5 %","288","12856"
"Austin Meadows","Rays","26.8 %","61.3 %","41.5 %","64.4 %","89.9 %","80.4 %","42.6 %","59.4 %","8.1 %","20.6 %","9.4 %","286","15672"
"Xander Bogaerts","Red Sox","31.0 %","58.0 %","42.0 %","70.2 %","91.3 %","82.1 %","40.6 %","57.1 %","7.5 %","16.8 %","8.4 %","310","12161"
"Josh Donaldson","Braves","23.8 %","70.7 %","41.9 %","63.2 %","76.4 %","71.8 %","38.5 %","56.4 %","11.8 %","21.3 %","17.2 %","296","5038"
"Mark Canha","Athletics","27.1 %","61.5 %","41.8 %","66.3 %","86.0 %","78.7 %","42.7 %","61.9 %","8.9 %","22.8 %","12.2 %","294","11445"
"Justin Turner","Dodgers","26.5 %","66.3 %","43.2 %","74.1 %","89.0 %","83.7 %","41.9 %","52.3 %","7.1 %","16.2 %","10.2 %","216","5235"
"J.D. Martinez","Red Sox","28.8 %","73.1 %","46.9 %","54.2 %","84.6 %","73.5 %","40.7 %","62.3 %","12.4 %","23.3 %","12.0 %","300","6184"
"Ryan Braun","Brewers","35.5 %","71.8 %","49.3 %","62.4 %","91.9 %","78.7 %","38.0 %","60.7 %","10.5 %","18.4 %","8.3 %","206","3410"
"Juan Soto","Nationals","22.5 %","71.4 %","41.3 %","60.1 %","86.9 %","77.9 %","38.5 %","56.5 %","9.1 %","18.6 %","18.0 %","317","20123"
"Giovanny Urshela","Yankees","42.2 %","78.3 %","57.1 %","71.1 %","82.5 %","77.5 %","41.2 %","68.9 %","12.8 %","20.2 %","3.9 %","228","10681"
"Starling Marte","Pirates","35.3 %","75.1 %","51.0 %","70.7 %","83.6 %","78.2 %","39.6 %","58.1 %","11.1 %","14.8 %","4.4 %","229","9241"
"Trey Mancini","Orioles","32.6 %","68.0 %","46.2 %","61.8 %","82.9 %","73.7 %","38.4 %","63.4 %","12.1 %","22.1 %","10.7 %","317","15149"
"Miguel Sano","Twins","27.8 %","64.3 %","41.7 %","38.6 %","80.9 %","63.5 %","38.2 %","58.3 %","15.3 %","35.1 %","13.3 %","271","12164"
"Teoscar Hernandez","Blue Jays","28.2 %","74.4 %","47.1 %","57.7 %","75.8 %","69.4 %","40.9 %","69.7 %","14.4 %","36.0 %","11.4 %","228","13066"
"Trevor Story","Rockies","30.6 %","73.7 %","48.0 %","54.8 %","89.3 %","76.2 %","40.4 %","58.6 %","11.4 %","27.0 %","9.4 %","307","12564"
"Bo Bichette","Blue Jays","38.6 %","75.0 %","53.3 %","70.6 %","81.1 %","76.6 %","40.5 %","65.1 %","12.5 %","23.6 %","6.6 %","212","19612"
"Aaron Judge","Yankees","24.7 %","69.5 %","42.2 %","37.6 %","77.9 %","63.5 %","39.0 %","62.4 %","15.4 %","32.3 %","13.5 %","303","15640"
"Yoan Moncada","White Sox","33.0 %","66.7 %","47.0 %","51.7 %","88.7 %","73.6 %","41.7 %","62.8 %","12.4 %","27.8 %","6.7 %","223","17232"
"Bryce Harper","Phillies","32.2 %","77.5 %","48.4 %","50.6 %","79.0 %","66.8 %","35.8 %","58.5 %","16.1 %","25.4 %","13.9 %","287","11579"
"Kolten Wong","Cardinals","33.9 %","70.3 %","48.9 %","74.1 %","93.6 %","85.7 %","41.0 %","60.0 %","7.0 %","15.2 %","7.4 %","230","12532"
"Jeff McNeil","Mets","44.7 %","85.8 %","61.8 %","73.4 %","86.8 %","81.1 %","41.5 %","66.3 %","11.7 %","14.9 %","6.8 %","249","15362"
"Tim Anderson","White Sox","46.9 %","75.7 %","59.1 %","58.5 %","91.5 %","76.4 %","42.3 %","61.6 %","14.0 %","21.1 %","3.4 %","237","15172"
"Nicholas Castellanos","- - -","42.1 %","77.6 %","55.8 %","53.1 %","87.0 %","71.3 %","38.7 %","63.4 %","16.0 %","21.8 %","4.4 %","298","11737"
"Mike Yastrzemski","Giants","28.7 %","70.0 %","46.8 %","63.9 %","81.0 %","75.1 %","43.8 %","58.4 %","11.6 %","24.9 %","8.5 %","281","14854"
"Asdrubal Cabrera","- - -","30.3 %","68.2 %","46.6 %","75.2 %","90.3 %","84.7 %","42.9 %","62.6 %","7.1 %","14.1 %","11.2 %","206","4962"
"Max Muncy","Dodgers","20.5 %","60.8 %","36.9 %","53.5 %","80.8 %","71.8 %","40.6 %","55.4 %","10.4 %","28.1 %","17.7 %","231","13301"
"Matt Olson","Athletics","28.7 %","68.7 %","45.6 %","67.1 %","79.6 %","75.1 %","42.2 %","56.3 %","11.4 %","26.3 %","9.2 %","304","14344"
"Cody Bellinger","Dodgers","27.2 %","72.6 %","46.2 %","69.4 %","82.1 %","77.8 %","41.9 %","55.8 %","10.3 %","18.4 %","14.5 %","283","15998"
"Joc Pederson","Dodgers","29.0 %","66.2 %","43.8 %","66.2 %","83.3 %","76.5 %","39.8 %","56.7 %","10.3 %","24.0 %","10.1 %","217","11899"
"DJ LeMahieu","Yankees","29.9 %","64.0 %","44.3 %","75.3 %","89.6 %","84.0 %","42.3 %","59.0 %","7.1 %","12.8 %","7.3 %","288","9874"
"Rafael Devers","Red Sox","42.5 %","75.5 %","55.4 %","72.5 %","80.6 %","76.8 %","39.1 %","64.2 %","12.9 %","18.2 %","6.2 %","324","17350"
"Ji-Man Choi","Rays","23.4 %","68.3 %","42.6 %","50.8 %","83.1 %","73.0 %","42.7 %","68.3 %","11.5 %","24.5 %","16.3 %","208","5452"
"Michael Conforto","Mets","29.8 %","76.9 %","48.6 %","65.6 %","80.7 %","75.1 %","39.9 %","60.4 %","12.1 %","23.1 %","11.9 %","303","16376"
"A.J. Pollock","Dodgers","32.6 %","66.3 %","46.8 %","49.7 %","87.2 %","72.1 %","42.3 %","60.8 %","13.1 %","22.5 %","6.2 %","227","9256"
"Paul Goldschmidt","Cardinals","32.7 %","67.6 %","47.3 %","70.0 %","79.8 %","75.8 %","41.8 %","64.3 %","11.4 %","22.6 %","11.5 %","305","9218"
"Ronald Acuna Jr.","Braves","28.3 %","71.1 %","46.5 %","58.3 %","76.8 %","70.3 %","42.5 %","67.3 %","13.8 %","30.4 %","11.2 %","303","18401"
"Freddie Freeman","Braves","35.2 %","82.4 %","53.0 %","70.7 %","85.4 %","79.4 %","37.8 %","55.6 %","10.9 %","18.2 %","14.3 %","286","5361"
"Starlin Castro","Marlins","35.4 %","70.6 %","50.2 %","68.3 %","91.7 %","82.1 %","42.1 %","58.4 %","9.0 %","15.4 %","4.3 %","305","4579"
"Trea Turner","Nationals","32.4 %","70.1 %","47.2 %","63.9 %","90.3 %","79.3 %","39.4 %","62.8 %","9.8 %","16.8 %","7.7 %","339","16252"
"J.T. Realmuto","Phillies","34.5 %","76.1 %","51.1 %","66.5 %","87.0 %","78.7 %","39.8 %","55.7 %","10.9 %","18.0 %","6.7 %","255","11739"
"Ozzie Albies","Braves","36.3 %","83.8 %","55.6 %","66.7 %","86.2 %","78.6 %","40.6 %","65.6 %","11.9 %","16.6 %","7.3 %","314","16556"
"Aristides Aquino","Reds","41.2 %","83.0 %","55.7 %","54.8 %","76.0 %","65.7 %","34.7 %","62.2 %","19.1 %","26.7 %","7.1 %","225","15482"
"Eloy Jimenez","White Sox","38.7 %","73.4 %","52.5 %","55.9 %","81.1 %","69.9 %","39.6 %","68.0 %","15.8 %","24.5 %","4.3 %","253","17484"
"Kyle Seager","Mariners","27.7 %","67.2 %","43.8 %","72.3 %","87.8 %","82.0 %","40.8 %","60.7 %","7.9 %","18.2 %","9.6 %","280","9785"
