last_name, first_name,year,hp_to_1b,sprint_speed,
Ortiz, David,2016,,23.5,
Beltre, Adrian,2016,,25.9,
Beltran, Carlos,2016,,25.7,
Werth, Jayson,2016,,25.8,
Pierzynski, A.J.,2016,,24.4,
Uribe, Juan,2016,,25.5,
Suzuki, Ichiro,2016,,27.8,
Martinez, Victor,2016,,22.5,
Utley, Chase,2016,,27.4,
Pujols, Albert,2016,,22.6,
Holliday, Matt,2016,,25.8,
Teixeira, Mark,2016,,24.5,
Mauer, Joe,2016,,26.4,
Cabrera, Miguel,2016,,24.4,
Gonzalez, Adrian,2016,,24.0,
Phillips, Brandon,2016,,26.0,
Reyes, Jose,2016,,27.7,
Crisp, Coco,2016,,28.2,
Peralta, Jhonny,2016,,26.1,
Loney, James,2016,,24.6,
Francoeur, Jeff,2016,,26.2,
Upton, B.J.,2016,,28.2,
Molina, Yadier,2016,,23.7,
Navarro, Dioner,2016,,23.2,
Fielder, Prince,2016,,24.4,
Cano, Robinson,2016,,24.8,
Encarnacion, Edwin,2016,,25.3,
Hardy, J.J.,2016,,26.0,
Howard, Ryan,2016,,23.3,
Gutierrez, Franklin,2016,,25.2,
Raburn, Ryan,2016,,26.8,
Johnson, Kelly,2016,,26.9,
Bautista, Jose,2016,,25.3,
Jones, Adam,2016,,28.0,
Aybar, Erick,2016,,27.8,
Hill, Aaron,2016,,27.3,
Martin, Russell,2016,,25.3,
Granderson, Curtis,2016,,27.3,
Pagan, Angel,2016,,27.7,
Davis, Rajai,2016,,28.9,
Ramirez, Hanley,2016,,26.8,
Morales, Kendrys,2016,,24.2,
Kendrick, Howie,2016,,26.7,
Napoli, Mike,2016,,24.8,
Wilson, Bobby,2016,,23.9,
Kinsler, Ian,2016,,26.8,
McCann, Brian,2016,,23.0,
Walker, Neil,2016,,26.2,
Suzuki, Kurt,2016,,25.4,
Desmond, Ian,2016,,28.5,
Cruz, Nelson,2016,,26.1,
Jaso, John,2016,,25.5,
Trumbo, Mark,2016,,27.0,
Escobar, Alcides,2016,,27.4,
Jay, Jon,2016,,26.3,
Prado, Martin,2016,,26.6,
Wieters, Matt,2016,,25.0,
Longoria, Evan,2016,,27.4,
Cozart, Zack,2016,,25.9,
Barney, Darwin,2016,,27.4,
Guyer, Brandon,2016,,27.9,
Rodriguez, Sean,2016,,27.0,
Reynolds, Mark,2016,,25.0,
Davis, Chris,2016,,26.5,
Orlando, Paulo,2016,,29.6,
Zobrist, Ben,2016,,27.3,
Fowler, Dexter,2016,,28.3,
Flowers, Tyler,2016,,25.4,
Headley, Chase,2016,,25.8,
Smith, Seth,2016,,26.2,
Lind, Adam,2016,,24.6,
Pence, Hunter,2016,,28.5,
Span, Denard,2016,,27.9,
Cabrera, Asdrubal,2016,,25.5,
Ellsbury, Jacoby,2016,,27.9,
Tulowitzki, Troy,2016,,25.5,
Johnson, Chris,2016,,26.3,
Blackmon, Charlie,2016,,27.7,
Blanco, Gregor,2016,,28.2,
Frazier, Todd,2016,,26.2,
Iannetta, Chris,2016,,24.9,
Maldonado, Martin,2016,,25.3,
Markakis, Nick,2016,,25.5,
Pedroia, Dustin,2016,,26.5,
Castillo, Welington,2016,,24.8,
Bourn, Michael,2016,,28.1,
Nunez, Eduardo,2016,,28.0,
Pearce, Steve,2016,,26.6,
Butler, Billy,2016,,23.7,
Cain, Lorenzo,2016,,29.1,
Saltalamacchia, Jarrod,2016,,25.6,
De Aza, Alejandro,2016,,27.6,
McCutchen, Andrew,2016,,29.1,
Upton, Justin,2016,,27.4,
Maybin, Cameron,2016,,28.8,
Turner, Justin,2016,,26.2,
Posey, Buster,2016,,25.2,
Espinosa, Danny,2016,,27.7,
Bruce, Jay,2016,,26.8,
Votto, Joey,2016,,25.0,
Coghlan, Chris,2016,,26.3,
Rasmus, Colby,2016,,28.0,
Gardner, Brett,2016,,28.7,
Saunders, Michael,2016,,26.9,
Joyce, Matt,2016,,26.0,
Hundley, Nick,2016,,25.7,
Braun, Ryan,2016,,27.3,
Gordon, Alex,2016,,26.2,
Gomez, Carlos,2016,,28.8,
Moss, Brandon,2016,,26.2,
Kemp, Matt,2016,,25.3,
Plouffe, Trevor,2016,,26.1,
Andrus, Elvis,2016,,27.4,
Cervelli, Francisco,2016,,25.7,
Cabrera, Melky,2016,,25.6,
Ramos, Wilson,2016,,24.1,
Santana, Carlos,2016,,25.9,
Parra, Gerardo,2016,,26.4,
Montero, Miguel,2016,,23.5,
Gonzalez, Carlos,2016,,27.0,
Valbuena, Luis,2016,,25.7,
Mercer, Jordy,2016,,27.6,
Belt, Brandon,2016,,26.4,
Carter, Chris,2016,,26.7,
Alonso, Yonder,2016,,24.6,
Smoak, Justin,2016,,24.2,
Zimmerman, Ryan,2016,,27.1,
Lowrie, Jed,2016,,25.5,
Alvarez, Pedro,2016,,25.2,
Wallace, Brett,2016,,24.9,
Carrera, Ezequiel,2016,,28.2,
Bourjos, Peter,2016,,29.5,
Castro, Jason,2016,,26.6,
d'Arnaud, Chase,2016,,29.1,
Escobar, Yunel,2016,,25.6,
Morrison, Logan,2016,,26.9,
Aoki, Norichika,2016,,27.2,
Lee, Dae-Ho,2016,,23.1,
Cespedes, Yoenis,2016,,27.1,
Ramirez, Alexei,2016,,26.5,
Beckham, Gordon,2016,,26.1,
Solarte, Yangervis,2016,,25.0,
Escobar, Eduardo,2016,,27.5,
Freese, David,2016,,26.9,
Davis, Khris,2016,,27.1,
Chisenhall, Lonnie,2016,,26.9,
Martinez, J.D.,2016,,27.0,
Valencia, Danny,2016,,27.0,
Reddick, Josh,2016,,27.3,
Dyson, Jarrod,2016,,28.8,
Murphy, Daniel,2016,,26.5,
Goldschmidt, Paul,2016,,27.3,
Gonzalez, Marwin,2016,,26.5,
Leon, Sandy,2016,,25.0,
Altuve, Jose,2016,,28.4,
Hernandez, Cesar,2016,,29.5,
Segura, Jean,2016,,28.3,
Castro, Starlin,2016,,27.4,
Marte, Starling,2016,,28.9,
d'Arnaud, Travis,2016,,27.1,
Descalso, Daniel,2016,,26.8,
Dietrich, Derek,2016,,27.7,
Donaldson, Josh,2016,,27.0,
Freeman, Freddie,2016,,26.4,
Grandal, Yasmani,2016,,24.2,
Heyward, Jason,2016,,27.7,
LeMahieu, DJ,2016,,27.1,
Lucroy, Jonathan,2016,,25.6,
Moreland, Mitch,2016,,25.6,
Norris, Derek,2016,,27.4,
Revere, Ben,2016,,27.3,
Rizzo, Anthony,2016,,25.9,
Rupp, Cameron,2016,,25.3,
Smolinski, Jake,2016,,27.7,
Souza Jr., Steven,2016,,28.7,
Stanton, Giancarlo,2016,,27.5,
Vogt, Stephen,2016,,26.0,
