"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-04-05,413661,"Wrigley Field",17,44,"Clear","7 mph, In From CF",35055,19:17:00,"3:04","2015/04/05/slnmlb-chnmlb-1","R","mlb","Bob Rosenberg","April 5, 2015","F",104,"P","kord","45","29.27","58","7:51 PM"
"2",2015-04-06,413663,"Yankee Stadium",3313,54,"Partly Cloudy","5 mph, R To L",48469,13:13:00,"2:59","2015/04/06/tormlb-nyamlb-1","R","mlb","Jordan Sprechman","April 6, 2015","F",103,"P","klga","51","30.22","59","1:51 PM"
"3",2015-04-06,413656,"Comerica Park",2394,52,"Partly Cloudy","5 mph, R To L",45030,13:08:00,"2:30","2015/04/06/minmlb-detmlb-1","R","mlb","Chuck Klonke","April 6, 2015","F",103,"P","kdet","53","29.40","52","1:53 PM"
"4",2015-04-06,413655,"Miller Park",32,70,"Roof Closed","0 mph, None",46032,13:20:00,"3:00","2015/04/06/colmlb-milmlb-1","R","mlb","Tim O'Driscoll","April 6, 2015","F",104,"P","kmke","42","29.29","70","1:52 PM"
"5",2015-04-06,413652,"Citizens Bank Park",2681,71,"Partly Cloudy","11 mph, Out To RF",45549,15:08:00,"3:01","2015/04/06/bosmlb-phimlb-1","R","mlb","Mike Maconi","April 6, 2015","F",104,"P","kphl","74","30.13","17","3:54 PM"
"6",2015-04-06,413651,"Tropicana Field",12,72,"Dome","0 mph, None",31042,15:12:00,"3:01","2015/04/06/balmlb-tbamlb-1","R","mlb","Bill Mathews","April 6, 2015","F",103,"P","kpie","84","30.10","55","3:53 PM"
"7",2015-04-06,413657,"Nationals Park",3309,76,"Sunny","14 mph, Out To CF",42295,16:09:00,"2:35","2015/04/06/nynmlb-wasmlb-1","R","mlb","Dave Matheson","April 6, 2015","F",104,"P","kdca","77","30.10","32","4:52 PM"
"8",2015-04-06,413649,"Safeco Field",680,54,"Cloudy","1 mph, Varies",45909,13:12:00,"2:33","2015/04/06/anamlb-seamlb-1","R","mlb","Eric Radovich","April 6, 2015","F",103,"P","kbfi","55","29.83","51","1:53 PM"
"9",2015-04-06,413650,"Marlins Park",4169,80,"Partly Cloudy","16 mph, In From CF",36969,16:22:00,"2:36 (:16 delay)","2015/04/06/atlmlb-miamlb-1","R","mlb","Ron Jernick","April 6, 2015","F",104,"P","kmia","83","30.09","56","4:53 PM"
"10",2015-04-06,413653,"Kauffman Stadium",7,59,"Drizzle","6 mph, R To L",40085,15:14:00,"2:50","2015/04/06/chamlb-kcamlb-1","R","mlb","David Boyce","April 6, 2015","F",103,"P","kmci","58","28.69","97","3:53 PM"
"11",2015-04-06,413658,"Great American Ball Park",2602,68,"Overcast","15 mph, Out To LF",43633,16:10:00,"2:30 (:35 delay)","2015/04/06/pitmlb-cinmlb-1","R","mlb","Ronald Roth","April 6, 2015","F",104,"P","kluk","63","29.52","67","4:53 PM"
"12",2015-04-06,413659,"Dodger Stadium",22,65,"Partly Cloudy","1 mph, Varies",53518,13:12:00,"3:04","2015/04/06/sdnmlb-lanmlb-1","R","mlb","Ed Munson","April 6, 2015","F",104,"P","kbur","63","29.12","28","1:53 PM"
"13",2015-04-06,413654,"Minute Maid Park",2392,79,"Partly Cloudy","14 mph, Out To LF",43753,18:10:00,"2:30","2015/04/06/clemlb-houmlb-1","R","mlb","Rick Blount","April 6, 2015","F",103,"P","khou","76","29.90","74","6:53 PM"
"14",2015-04-06,413662,"O.co Coliseum",10,56,"Cloudy","17 mph, Out To RF",36067,19:09:00,"2:45","2015/04/06/texmlb-oakmlb-1","R","mlb","Chuck Dybdal","April 6, 2015","F",103,"P","koak","57","29.87","55","7:53 PM"
"15",2015-04-06,413660,"Chase Field",15,81,"Clear","7 mph, L To R",49043,19:13:00,"3:18","2015/04/06/sfnmlb-arimlb-1","R","mlb","Gary Rausch","April 6, 2015","F",104,"P","kphx","79","28.62","7","7:51 PM"
"16",2015-07-07,413683,"Wrigley Field",17,60,"Sunny","24 mph, In From LF",34368,12:20:00,"3:10","2015/07/07/slnmlb-chnmlb-1","R","mlb","Don Friske","Att","F",104,"P","kord","67","29.30","47","12:51 PM"
"17",2015-04-07,413665,"Marlins Park",4169,75,"Roof Closed","0 mph, None",17483,19:11:00,"3:14","2015/04/07/atlmlb-miamlb-1","R","mlb","Ron Jernick","April 7, 2015","F",104,"P","kmia","78","30.12","66","7:53 PM"
"18",2015-04-07,413666,"Tropicana Field",12,72,"Dome","0 mph, None",13906,19:10:00,"3:22","2015/04/07/balmlb-tbamlb-1","R","mlb","Bill Mathews","April 7, 2015","F",103,"P","kpie","77","30.13","69","7:53 PM"
"19",2015-04-07,413667,"Miller Park",32,64,"Roof Closed","0 mph, None",30222,19:10:00,"2:48","2015/04/07/colmlb-milmlb-1","R","mlb","Tim O'Driscoll","April 7, 2015","F",104,"P","kmke","39","29.32","82","7:52 PM"
"20",2015-04-07,413669,"Chase Field",15,79,"Partly Cloudy","13 mph, Out To RF",22626,18:40:00,"3:10","2015/04/07/sfnmlb-arimlb-1","R","mlb","Gary Rausch","April 7, 2015","F",104,"P","kphx","79","28.61","9","6:51 PM"
"21",2015-04-07,413670,"O.co Coliseum",10,54,"Partly Cloudy","16 mph, Out To RF",15025,19:08:00,"2:30","2015/04/07/texmlb-oakmlb-1","R","mlb","Chuck Dybdal","April 7, 2015","F",103,"P","koak","53","29.97","66","7:53 PM"
"22",2015-04-07,413664,"Safeco Field",680,56,"Partly Cloudy","3 mph, Out To RF",26545,19:10:00,"2:13","2015/04/07/anamlb-seamlb-1","R","mlb","Darin Padur","April 7, 2015","F",103,"P","kbfi","57","29.85","51","7:53 PM"
"23",2015-04-07,413668,"Dodger Stadium",22,57,"Rain","1 mph, Varies",40356,19:40:00,"3:31 (:30 delay)","2015/04/07/sdnmlb-lanmlb-1","R","mlb","Ed Munson","April 7, 2015","F",104,"P","kbur","55","29.15","86","7:53 PM"
"24",2015-04-08,413678,"Comerica Park",2394,39,"Cloudy","7 mph, In From LF",28280,13:08:00,"3:06","2015/04/08/minmlb-detmlb-1","R","mlb","Chuck Klonke","April 8, 2015","F",103,"P","kdet","40","29.31","97","1:12 PM"
"25",2015-04-08,413693,"Wrigley Field",17,46,"Cloudy","6 mph, In From CF",26814,13:22:00,"2:23","2015/04/08/slnmlb-chnmlb-1","R","mlb","Don Friske","April 8, 2015","F",104,"P","kord","50","29.26","80","1:29 PM"
"26",2015-04-08,413674,"Citizens Bank Park",2681,40,"Cloudy","11 mph, R To L",26465,19:08:00,"2:54","2015/04/08/bosmlb-phimlb-1","R","mlb","Dick Shute","April 8, 2015","F",104,"P","kphl","40","30.24","89","7:10 PM"
"27",2015-04-08,413679,"Nationals Park",3309,46,"Cloudy","6 mph, Out To CF",25999,20:01:00,"2:21 (:56 delay)","2015/04/08/nynmlb-wasmlb-1","R","mlb","Dave Matheson","April 8, 2015","F",104,"P","kdca","48","30.10","87","8:03 PM"
"28",2015-04-08,413685,"Yankee Stadium",3313,44,"Cloudy","17 mph, L To R",31020,19:10:00,"2:56","2015/04/08/tormlb-nyamlb-1","R","mlb","Jordan Sprechman","April 8, 2015","F",103,"P","klga","43","30.25","61","7:27 PM"
"29",2015-04-08,413672,"Marlins Park",4169,73,"Roof Closed","0 mph, None",16127,19:11:00,"2:45","2015/04/08/atlmlb-miamlb-1","R","mlb","Ron Jernick","April 8, 2015","F",104,"P","kmia","77","30.08","71","7:53 PM"
"30",2015-04-08,413673,"Tropicana Field",12,72,"Dome","0 mph, None",13569,19:10:00,"3:00","2015/04/08/balmlb-tbamlb-1","R","mlb","Bill Mathews","April 8, 2015","F",103,"P","kpie","76","30.07","74","7:53 PM"
"31",2015-04-08,413680,"Great American Ball Park",2602,64,"Cloudy","2 mph, L To R",30859,21:44:00,"4:01 (2:34 delay)","2015/04/08/pitmlb-cinmlb-1","R","mlb","Mike Cameron","April 8, 2015","F",104,"P","kluk","62","29.45","90","9:53 PM"
"32",2015-04-08,413675,"Kauffman Stadium",7,74,"Cloudy","14 mph, R To L",23385,19:10:00,"3:11","2015/04/08/chamlb-kcamlb-1","R","mlb","David Boyce","April 8, 2015","F",103,"P","kmci","71","28.60","78","7:36 PM"
"33",2015-04-08,413676,"Minute Maid Park",2392,79,"Cloudy","11 mph, Out To LF",23078,19:10:00,"2:40","2015/04/08/clemlb-houmlb-1","R","mlb","Trey Wilkinson","April 8, 2015","F",103,"P","khou","75","29.88","79","7:53 PM"
"34",2015-04-08,413677,"Miller Park",32,64,"Roof Closed","0 mph, None",28720,19:10:00,"3:15","2015/04/08/colmlb-milmlb-1","R","mlb","Tim O'Driscoll","April 8, 2015","F",104,"P","kmke","37","29.24","93","7:49 PM"
"35",2015-04-08,413682,"Chase Field",15,74,"Clear","7 mph, Out To RF",21642,18:40:00,"3:08","2015/04/08/sfnmlb-arimlb-1","R","mlb","Gary Rausch","April 8, 2015","F",104,"P","kphx","74","28.66","10","6:51 PM"
"36",2015-04-08,413684,"O.co Coliseum",10,58,"Partly Cloudy","10 mph, Out To RF",19479,19:07:00,"2:55","2015/04/08/texmlb-oakmlb-1","R","mlb","Jim Young","April 8, 2015","F",103,"P","koak","55","30.09","67","7:53 PM"
"37",2015-04-08,413671,"Safeco Field",680,60,"Partly Cloudy","1 mph, In From LF",25495,19:10:00,"2:48","2015/04/08/anamlb-seamlb-1","R","mlb","Dan Peterson","April 8, 2015","F",103,"P","kbfi","57","30.09","53","7:53 PM"
"38",2015-04-08,413681,"Dodger Stadium",22,65,"Clear","10 mph, L To R",52204,19:09:00,"3:16","2015/04/08/sdnmlb-lanmlb-1","R","mlb","Jerry White","April 8, 2015","F",104,"P","kbur","61","29.14","44","7:53 PM"
"39",2015-04-09,413691,"Great American Ball Park",2602,73,"Cloudy","13 mph, R To L",15616,12:36:00,"2:32 (1:14 delay)","2015/04/09/pitmlb-cinmlb-1","R","mlb","Ronald Roth","April 9, 2015","F",104,"P","kluk","76","29.37","74","12:53 PM"
"40",2015-04-09,413690,"Nationals Park",3309,47,"Cloudy","8 mph, Out To RF",25327,13:07:00,"2:54","2015/04/09/nynmlb-wasmlb-1","R","mlb","Dave Matheson","April 9, 2015","F",104,"P","kdca","50","30.24","76","1:32 PM"
"41",2015-04-09,413689,"Comerica Park",2394,59,"Drizzle","13 mph, R To L",26782,16:44:00,"2:43 (3:36 delay)","2015/04/09/minmlb-detmlb-1","R","mlb","Chuck Klonke","April 9, 2015","F",103,"P","kdet","61","29.07","93","4:53 PM"
"42",2015-04-09,413687,"Kauffman Stadium",7,72,"Partly Cloudy","18 mph, L To R",20236,13:11:00,"2:37","2015/04/09/chamlb-kcamlb-1","R","mlb","David Boyce","April 9, 2015","F",103,"P","kmci","57","28.58","77","1:53 PM"
"43",2015-04-09,413688,"Minute Maid Park",2392,73,"Roof Closed","0 mph, None",22593,13:11:00,"3:08","2015/04/09/clemlb-houmlb-1","R","mlb","Rick Blount","April 9, 2015","F",103,"P","khou","82","29.89","65","1:53 PM"
"44",2015-04-09,413694,"O.co Coliseum",10,58,"Partly Cloudy","7 mph, Out To RF",16045,12:37:00,"2:32","2015/04/09/texmlb-oakmlb-1","R","mlb","Jim Young","April 9, 2015","F",103,"P","koak","61","30.01","54","12:53 PM"
"45",2015-04-09,413692,"Petco Park",2680,67,"Sunny","12 mph, L To R",45149,15:41:00,"4:05","2015/04/09/sfnmlb-sdnmlb-1","R","mlb","Bill Zavestoski","April 9, 2015","F",104,"P","ksan","68","29.93","47","3:51 PM"
"46",2015-04-09,413686,"Citizens Bank Park",2681,42,"Overcast","10 mph, R To L",23418,19:06:00,"3:08","2015/04/09/bosmlb-phimlb-1","R","mlb","Jay Dunn","April 9, 2015","F",104,"P","kphl","42","30.25","82","7:54 PM"
"47",2015-04-09,413695,"Yankee Stadium",3313,42,"Overcast","7 mph, L To R",32152,19:08:00,"2:52","2015/04/09/tormlb-nyamlb-1","R","mlb","Jordan Sprechman","April 9, 2015","F",103,"P","klga","42","30.27","79","7:51 PM"
"48",2015-04-10,413709,"Oriole Park at Camden Yards",2,51,"Rain","2 mph, R To L",45936,15:11:00,"2:45","2015/04/10/tormlb-balmlb-1","R","mlb","Jim Henneman","April 10, 2015","F",103,"P","kbwi","54","29.67","94","3:15 PM"
"49",2015-04-10,413699,"Globe Life Park in Arlington",13,65,"Partly Cloudy","6 mph, In From LF",48885,15:08:00,"2:45","2015/04/10/houmlb-texmlb-1","R","mlb","Steve Weller","April 10, 2015","F",103,"P","kdfw","68","29.48","42","3:53 PM"
"50",2015-04-10,413697,"Coors Field",19,61,"Partly Cloudy","7 mph, R To L",49303,14:10:00,"3:01","2015/04/10/chnmlb-colmlb-1","R","mlb","Dave Plati","April 10, 2015","F",104,"P","kden","62","24.56","24","2:53 PM"
"51",2015-04-10,413698,"Progressive Field",5,53,"Sunny","17 mph, L To R",35789,16:10:00,"3:35","2015/04/10/detmlb-clemlb-1","R","mlb","Bob Maver","April 10, 2015","F",103,"P","kcle","58","29.05","47","4:51 PM"
"52",2015-04-10,413702,"U.S. Cellular Field",4,66,"Sunny","21 mph, R To L",38533,15:10:00,"3:01","2015/04/10/minmlb-chamlb-1","R","mlb","Bob Rosenberg","April 10, 2015","F",103,"P","kmdw","62","29.19","37","3:53 PM"
"53",2015-04-10,413710,"Citizens Bank Park",2681,57,"Cloudy","11 mph, Out To RF",19047,19:07:00,"2:30","2015/04/10/wasmlb-phimlb-1","R","mlb","Mike Maconi","April 10, 2015","F",104,"P","kphl","56","29.79","90","7:38 PM"
"54",2015-04-10,413696,"Yankee Stadium",3313,55,"Cloudy","11 mph, R To L",41292,19:08:00,"6:49 (:16 delay)","2015/04/10/bosmlb-nyamlb-1","R","mlb","Howie Karpin","April 10, 2015","F",103,"P","klga","57","29.75","81","7:51 PM"
"55",2015-04-10,413707,"Great American Ball Park",2602,64,"Clear","11 mph, R To L",30808,19:12:00,"2:26","2015/04/10/slnmlb-cinmlb-1","R","mlb","Mike Cameron","April 10, 2015","F",104,"P","kluk","58","29.47","47","7:53 PM"
"56",2015-04-10,413708,"Marlins Park",4169,75,"Roof Closed","0 mph, None",17375,19:10:00,"3:36","2015/04/10/tbamlb-miamlb-1","R","mlb","Ron Jernick","April 10, 2015","F",104,"P","kmia","79","30.04","74","7:53 PM"
"57",2015-04-10,413703,"Turner Field",16,65,"Cloudy","6 mph, L To R",46279,20:51:00,"3:01 (1:09 delay)","2015/04/10/nynmlb-atlmlb-1","R","mlb","Jack Wilkinson","April 10, 2015","F",104,"P","katl","66","28.94","90","8:52 PM"
"58",2015-04-10,413704,"Miller Park",32,66,"Roof Closed","0 mph, None",27373,19:11:00,"3:13","2015/04/10/pitmlb-milmlb-1","R","mlb","Tim O'Driscoll","April 10, 2015","F",104,"P","kmke","45","29.28","65","7:52 PM"
"59",2015-04-10,413701,"Chase Field",15,82,"Clear","6 mph, In From CF",27404,18:40:00,"3:01","2015/04/10/lanmlb-arimlb-1","R","mlb","Rodney Johnson","April 10, 2015","F",104,"P","kphx","83","28.63","8","6:51 PM"
"60",2015-04-10,413700,"Angel Stadium of Anaheim",1,67,"Partly Cloudy","7 mph, Out To CF",44489,19:12:00,"3:16","2015/04/10/kcamlb-anamlb-1","R","mlb","Ed Munson","April 10, 2015","F",103,"P","ksna","63","29.90","58","7:53 PM"
