"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-07-28,415139,"Safeco Field",680,80,"Clear","2 mph, L To R",25106,19:10:00,"3:00","2015/07/28/arimlb-seamlb-1","R","mlb","Darin Padur","Att","F",103,"P","kbfi","79","30.15","34","7:53 PM"
"2",2015-07-28,415148,"Dodger Stadium",22,75,"Clear","4 mph, Out To RF",50182,19:10:00,"2:22","2015/07/28/oakmlb-lanmlb-1","R","mlb","Ed Munson","Att","F",104,"P","kbur","77","29.02","58","7:53 PM"
"3",2015-07-28,415146,"AT&T Park",2395,72,"Clear","12 mph, Out To CF",42743,19:15:00,"2:38","2015/07/28/milmlb-sfnmlb-1","R","mlb","David Bush","Att","F",104,"P","ksfo","72","29.82","55","7:56 PM"
"4",2015-07-29,415159,"Tropicana Field",12,72,"Dome","0 mph, None",28057,12:10:00,"2:39","2015/07/29/detmlb-tbamlb-1","R","mlb","Bill Mathews","Att","F",103,"P","kpie","89","29.99","70","12:15 PM"
"5",2015-07-29,415160,"Progressive Field",5,88,"Sunny","6 mph, In From LF",19767,12:10:00,"2:55","2015/07/29/kcamlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","88","0.00","42","12:51 PM"
"6",2015-07-29,415165,"Target Field",3312,78,"Sunny","23 mph, Out To CF",37273,12:10:00,"3:29","2015/07/29/pitmlb-minmlb-1","R","mlb","Stew Thornley","Att","F",103,"P","kmsp","80","29.04","39","12:53 PM"
"7",2015-07-29,415158,"Wrigley Field",17,86,"Partly Cloudy","12 mph, L To R",38874,13:22:00,"2:37","2015/07/29/colmlb-chnmlb-1","R","mlb","Don Friske","Att","F",104,"P","kord","87","29.27","28","1:51 PM"
"8",2015-07-29,415154,"Safeco Field",680,74,"Sunny","1 mph, Out To RF",32502,12:41:00,"2:59","2015/07/29/arimlb-seamlb-1","R","mlb","Eric Radovich","Att","F",103,"P","kbfi","81","30.13","34","12:53 PM"
"9",2015-07-29,415161,"AT&T Park",2395,76,"Sunny","11 mph, Varies",42352,12:46:00,"3:02","2015/07/29/milmlb-sfnmlb-1","R","mlb","David Bush","Att","F",104,"P","ksfo","77","29.90","48","12:56 PM"
"10",2015-07-29,415155,"Oriole Park at Camden Yards",2,80,"Cloudy","3 mph, Out To LF",29328,19:38:00,"2:15 (:33 delay)","2015/07/29/atlmlb-balmlb-1","R","mlb","Dennis Hetrick","Att","F",103,"P","kbwi","81","29.78","82","7:54 PM"
"11",2015-07-29,415164,"Rogers Centre",14,81,"Partly Cloudy","7 mph, Out To LF",27060,19:08:00,"2:37","2015/07/29/phimlb-tormlb-1","R","mlb","Stephen Utter","Att","F",103,"P","cytz","81","29.56","70","8:00 PM"
"12",2015-07-29,415156,"Fenway Park",3,91,"Partly Cloudy","5 mph, Out To RF",37104,19:21:00,"3:42","2015/07/29/chamlb-bosmlb-1","R","mlb","Bob Ellis","Att","F",103,"P","kbos","90","29.86","45","7:54 PM"
"13",2015-07-29,415166,"Citi Field",3289,89,"Partly Cloudy","14 mph, Out To LF",24804,19:10:00,"3:12","2015/07/29/sdnmlb-nynmlb-1","R","mlb","Howie Karpin","Att","F",104,"P","klga","88","29.88","53","7:51 PM"
"14",2015-07-29,415167,"Marlins Park",4169,78,"Roof Closed","0 mph, None",19513,19:11:00,"2:39","2015/07/29/wasmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","87","29.96","63","7:53 PM"
